Name / Nom,Strasse / Rue,Plz / NAP,Ort / Lieu,Kanton / Canton,Name / Nom,Vorname / Prénom
DecoBar 1414 GmbH,Bahnhofstrasse 4,6030,Ebikon,LU,Farrero,Martina
L'Ambiance GmbH,Hauptstrasse 56,6280,Hochdorf,LU,Thuli,Andrea
Spassimo GmbH,Hubelstrasse 8,6012,Obernau,LU,Inäbnit,Urs
Montis GmbH,Leopoldstrasse 6,6210,Sursee,LU,Boog,Stephan
cosmoro GmbH,Postplatz 6,6130,Willisau,LU,Moro,Silvio
Papeterie Mühlebach GmbH,Münzgasse 2,6102,Malters,LU,Mühlebach,Manuela
"S. Weber Arbon Klarastrasse GmbH, mit Sitz in Luzern",Murbacherstrasse 37,6003,Luzern,LU,Arpagaus,Gian
Kretz Karusselle GmbH,Rüedikerstrasse 16,6288,Schongau,LU,Kretz,Jakob
"O. Jung Arbon Landquartstrasse GmbH, mit Sitz in Luzern",Murbacherstrasse 37,6003,Luzern,LU,Arpagaus,Gian
fitNessen GmbH,Luzernerstrasse 9a,6010,Kriens,LU,Husistein,Steve
Rund um's Heilen GmbH,Spitalstrasse 17a,6004,Luzern,LU,Aschwanden,Viola
"D. Landmann Schenkon GmbH, mit Sitz in Luzern",Murbacherstrasse 37,6003,Luzern,LU,Hess,Guido
"A. Dinaj Emmen Süd GmbH, mit Sitz in Luzern",Murbacherstrasse 37,6003,Luzern,LU,Hess,Guido
Hansueli Remund Raumplanung GmbH,Neustadtstrasse 7,6003,Luzern,LU,Remund,Hans Ulrich
Hodel Energie GmbH,Schweikhüsern 3,6018,Buttisholz,LU,Hodel,Georg David
Individual Cars GmbH,Sternmatt 13,6242,Wauwil,LU,Stadelmann,Herbert
immVERS GmbH,Zürichstrasse 49,6004,Luzern,LU,Halilaj,Mentor
MEXAB Stiftung,Murbacherstrasse 37,6002,Luzern,LU,Hoch,Mariel
ALL CONSULTING AG,Bireggstrasse 2,6003,Luzern,LU,,
"Mailyn Streit, myPIANOline Klavierlernmethode",Im Dorf,6466,Bauen,UR,Streit,Mailyn Rebecca
Riteco AG,Gändlistrasse,6468,Attinghausen,UR,Lehmann,Marcel
transverbal GmbH,Klostergasse 16,6460,Altdorf,UR,de Reynier,Francine
Valeria Meli Personal Training,Gewerbestrasse 28,6438,Ibach,SZ,Meli,Valeria
Auto Speedi Marques da Silva,Sägereistrasse 9,8834,Schindellegi,SZ,Silva,Antonella
CHILL & STYLE Evelyn Widmer-Vogel,Kronenstrasse 2,8840,Einsiedeln,SZ,Widmer,Evelyn
Michael Frank IT-Consulting,Talstrasse 18,6442,Gersau,SZ,Frank,Michael
"Eiweiss Vitamin Quelle, Monika Ochsner",Stockbergweg 2,8855,Wangen,SZ,Ochsner,Roman
Mächler Hanspeter - Trading,Birkenstrasse 27,8856,Tuggen,SZ,Mächler,Hanspeter
Jörg Kälin Rolladen & Storen,Zürichstrasse 29,8840,Einsiedeln,SZ,Kälin,Jörg
"Schwyzer-Journal, Polesana & Hegelbach",Birchli 14,8840,Einsiedeln,SZ,Hegelbach,Johann Josef
Lötscher & Lötscher Inselwirtschaft Ufenau,Insel Ufenau Unterdorf,8808,Pfäffikon,SZ,Lötscher,Beat
finam software&solutions ag,Churerstrasse 47,8808,Pfäffikon,SZ,Grolp,Andreas
RAARIMMO AG (RAARIMMO Ltd) (RAARIMMO SA) ),Poststrasse 2,8808,Pfäffikon,SZ,Danial,Nada Annalise
SWECON Haus AG,Chaltenbodenstrasse 16,8834,Schindellegi,SZ,Rost,Hans-Dieter
Sureinvest AG,Höh-Rohnenweg 17,8832,Wilen,SZ,Ehrbar,Rudolf
Rocafella Ltd.,Wolleraustrasse 41a,8807,Freienbach,SZ,Vázquez Pérez,Alejandro
Metzgerei Bürgi AG,Dorfstrasse 5,8834,Schindellegi,SZ,Bürgi,Ursula
BTC Innovation AG,Einsiedlerstrasse 23,8834,Schindellegi,SZ,Heitmann,Andreas
DinoFly LLC,Ziegelhüttenstrasse 16,8853,Lachen,SZ,Dinello,Oscar
DB Bau GmbH,Eulenweg 25,8832,Wilen,SZ,Bytyqi Baumann,Dibran
IP&SIM Beratung GmbH,Schwerzistrasse 6,8807,Freienbach,SZ,Semmler,Bernd Michael
HORTILINE GmbH,Seestrasse 58,8806,Bäch,SZ,Michaud,Aloys
SQP Swiss Quality Products GmbH,Seebodenstrasse 24,6403,Küssnacht,SZ,Tsiridis,Kyung Hye
modern STONES GmbH,Korporationsweg 9a,8832,Wilen,SZ,Morgenegg,Marcel
BTSA GmbH,Churerstrasse 12,8808,Pfäffikon,SZ,Kuprecht,Rolf
IBF & Exp.H. GmbH,Glänternstrasse 18,8864,Reichenburg,SZ,Wyss,Ursula
Constar GmbH,Färberstrasse 4,8832,Wollerau,SZ,Eberle,Reiner
GSB Garage Sepp Blättler,Hirserenriedstrasse 48,6074,Giswil,OW,Blättler,Josef
Roland Muther IT Service,Sandmatt 6,6064,Kerns,OW,Muther,Roland
Denise Wehrli Invest,Sandmatt 6,6064,Kerns,OW,Wehrli,Denise
"U KARI, Inhaber Karl Kiser",Landenbergstrasse 11,6060,Sarnen,OW,Kiser,Karl
Haustechnik Blättler AG,Mühlemattli 30,6074,Giswil,OW,Langensand Blättler,Astrid
TIARA Capital Holding AG,Tulpenweg 2,6060,Sarnen,OW,Altug,Ian
Camenzind Human Resources GmbH,Bahnhofplatz 6,6060,Sarnen,OW,Camenzind,Claudia
Amstad Gastro,Stanserstrasse 3,6362,Stansstad,NW,Amstad,Marco Bruno
"Rosmarie Sursa Koerdt, sozialarbeit-mandatsfuehrung.ch",Rotzbergstrasse 3,6362,Stansstad,NW,Sursa Koerdt,Rosmarie
Werner Daniel Leisinger,Fenzgasse 3,8755,Ennenda,GL,Leisinger,Werner Daniel
Bergli Glarus GmbH,Berglistrasse 50,8750,Glarus,GL,Eberhard,Michaela
"Metelka-Matalova Stepanka, PEWA",Bachweg 2,6315,Oberägeri,ZG,Metelka,Stepanka
David Dayan Consulting,Nussli 1,6313,Edlibach,ZG,Dayan,David
Swiss Bliss D. Kaya,Heimelistrasse 15,6314,Unterägeri,ZG,Kaya,Denis
Roland Peer Informatikdienstleistungen,Zugerstrasse 4,6312,Steinhausen,ZG,Peer,Roland
COIFFURE FAHIRA HADZIC,Hauptstrasse 12,6315,Oberägeri,ZG,Hadzic,Fahira
Balloon Kids Tanja Dollinger,Zeughausgasse 14,6300,Zug,ZG,Dollinger,Tanja
ANTON ROLLER - TENNISLEHRER,Gewerbestrasse 11,6340,Baar,ZG,Roller,Anton
Rufus Consulting AG,Haldenstrasse 1,6340,Baar,ZG,Gribi,Patrick
Optima Nexus Consulting AG,Lüssiweg 20,6300,Zug,ZG,Metzner,Peter
Optima Nexus IT Services AG,Lüssiweg 20,6300,Zug,ZG,Metzner,Peter
Art Promotion Baar AG,Sonnmatt 3,6319,Allenwinden,ZG,Linke,Markus
MS Emerald Dawn AG,Poststrasse 14,6304,Zug,ZG,Sandmeier,Lucas
MS Emerald Sun AG,Poststrasse 14,6304,Zug,ZG,Sandmeier,Lucas
BuzzLab AG,Zugerstrasse 76B,6340,Baar,ZG,Lauber,Dominique
Globacom AG,Schochenmühlestrasse 4,6340,Baar,ZG,Ladner,Thomas
OMNIK AG,Vorstadt 32,6304,Zug,ZG,Bill,Daniel
NUBES International AG,Schlumpfenhof 4,6343,Rotkreuz,ZG,Markstahler,Andreas
GSPC AG,Turmstrasse 28,6300,Zug,ZG,Klenk,Hans-Günther
eCollect AG,Mitteldorfstrasse 37A,6315,Oberägeri,ZG,Blattmann,Urs
Red Forest AG,Lättichstrasse 6,6340,Baar,ZG,Stiegler Hauser,Patrizia
Froodas AG,Birkenmatt 13,6343,Rotkreuz,ZG,Elmiger,Jakob
Vasta International AG,Bösch 43,6331,Hünenberg,ZG,Pozzi,Jasmin Marija
Octosoft AG,Sennweidstrasse 45,6312,Steinhausen,ZG,Richard,Erwin
ONE MOZAIK AG,Terrassenweg 1A,6300,Zug,ZG,Ballocchi,Giuseppe
CelGen3D AG,Hofstrasse 1A,6300,Zug,ZG,Daum,Volker
Santa Maria Invest AG,Unter Altstadt 28,6300,Zug,ZG,Eisenring,Martin
Scout24 International Management AG,Neuhofstrasse 4,6341,Baar,ZG,Hupfer,Johannes Peter
LoccoZ Holding AG,Ibelweg 18A,6300,Zug,ZG,Zoccolillo,Giuseppe
Inpay Switzerland AG,Bahnhofstrasse 10,6301,Zug,ZG,Barton,Michael W.
Futurice (Switzerland) AG,Alte Steinhauserstrasse 1,6330,Cham,ZG,Schmid,Guido
Suke Business Corporation AG,Ägeristrasse 48,6300,Zug,ZG,Lombardi,Mirco
AVICII INTERNATIONAL GmbH,Alte Steinhauserstrasse 1,6330,Cham,ZG,van Doorn,Barthold Assuerus
DAGASTRO GmbH,Bundesplatz 16,6300,Zug,ZG,Ellenberger,Heinz
Alessio Allround GmbH,Allmendstrasse 3A,6312,Steinhausen,ZG,Ikanovic,Alija
Fitnessmagnet GmbH,Zeughausgasse 15,6300,Zug,ZG,Lüdi,Milena
BrandCouch GmbH,Baarerstrasse 135,6301,Zug,ZG,Fasciati,Marcel
Smart Innovations of Switzerland GmbH,Obmoos 4,6301,Zug,ZG,Bergqvist,Olov Johan
Wohlfühl Kosmetik GmbH,Oberdorfstrasse 3,6340,Baar,ZG,Schwerzmann,Flavia
myvets GmbH,Knonauerstrasse 54,6330,Cham,ZG,Béosier,Yuri Michel
Euro Media Verlag GmbH,Baarerstrasse 11,6300,Zug,ZG,Seidel,Jana
vitenio GmbH,Gewerbestrasse 5A,6314,Unterägeri,ZG,Brabender,Thomas
Sunstone Water Group Service GmbH,Rathausstrasse 7,6340,Baar,ZG,Jancik,Roman
POSTA POWER GmbH,Bahnhofstrasse 9,6341,Baar,ZG,Keller,Boris Gregor
Sixty and Me LLC,Gotthardstrasse 30,6300,Zug,ZG,Manning,Nathan
Tempro Personal Zug GmbH,Baarerstrasse 71,6300,Zug,ZG,Tschuor,Nathalie Deborah
pk-management GmbH,Bundesplatz 4,6300,Zug,ZG,Krag,Peter
ML Consult & Invest GmbH,Baarerstrasse 141,6300,Zug,ZG,Lonsert,Michael
Prime Office AG Zweigniederlassung Baar,Oberdorfstrasse 11,6340,Baar,ZG,,
"N.O.R.A. Services AG, Balzers, Zweigniederlassung Zug",Baarerstrasse 53,6304,Zug,ZG,Fiori,Virginia
Mosquée de Fribourg - MoFri,Boulevard de Pérolles 55,1700,Fribourg,FR,Uysal,Yusuf
Avi Murten GmbH,Kreuzgasse 4,3280,Murten,FR,Singh,Avtar
Spacki's Poolservice Bernhard Spack,Austrasse 3,3175,Flamatt,FR,Spack,Bernhard
FIROM GROUP Sàrl,Impasse de la Forêt 15,1700,Fribourg,FR,Coronas,Alessio
Speedy Esta GmbH,Rue Saint Laurent 2,1470,Estavayer-le-Lac,FR,Kastrati,Fatime
Kiosque L'Orchidée Sàrl,Rue St-Pierre 2,1700,Fribourg,FR,Mugny,Annarosa
"RIZ Construction, titulaire Rizzello",Route de la Gruyère 13,1634,La Roche,FR,Rizzello,Vincenzo
"Space-Time-Musik, Matti",Trittehüsere 7,3182,Ueberstorf,FR,Matti,Lukas
Antonio Losito 'Buvette du stade St-Léonard',Chemin de l'Abbé-Freeley 6,1700,Fribourg,FR,Losito,Antonio
SiYu AG,Route Saint-Nicolas de Flüe 2,1700,Fribourg,FR,Stadelmann,Edgar
SUI 5410 GmbH,Boulevard de Pérolles 19,1700,Fribourg,FR,Auer,Cyrill Leonard
SECRETARIAT & COMPTABILITE Cosandey Patricia,Chemin Saint-Marc 22,1700,Fribourg,FR,Cosandey,Patricia Béatrice Fabienne
Osteopathie Born,Bahnhofstrasse 3,3186,Düdingen,FR,Born,Kurt Rudolf
BUMA GmbH,Lusbüel 7,1736,St. Silvester,FR,Buntschu,Mario
Dynatom International Sàrl,Route des Arsenaux 22,1700,Fribourg,FR,Lefevre,Arnaud Jacques Franck
FP Constructions Sàrl,Chemin de Sport 11a,1773,Léchelles,FR,De Almeida Pinho,Carlos Miguel
HTZ Yurteri Gerüstbau,Chemin Fin du Mossard 59,3280,Murten,FR,Yurteri,Caglar
Pinto Rodrigues & Da Silva Cordeiro,Ruelle des Ormeaux 17,1635,La Tour-de-Trême,FR,Da Silva Cordeiro,Fernando
Delamadeleine Claude,Les Thurlings 79,1772,Grolley,FR,Delamadeleine,Claude Georges
"Buvette des Sattels, R. Moura",Châlet Sattelschwand,1656,Jaun,FR,Moura,Ronald
Realtech SA,Länggasse 13,3280,Murten,FR,Tosalli,Bernard
FS2B Sàrl,Chemin de la Buchille 63,1630,Bulle,FR,Sudan,Frédéric Alexandre
Dattilo vins,Impasse des Etangs 19,1763,Granges-Paccot,FR,Dattilo,Giuseppe Fabio
GRADINA Sàrl,Rue de Romont 5,1700,Fribourg,FR,Petrus,Camelia Mariana
YEP ! Sàrl,Place du Petit-Saint-Jean 17,1700,Fribourg,FR,Lauber,Alexandre
"Grinta Art Ink, Messina Michael-Mattia",Impasse Bellevue 2,1632,Riaz,FR,Messina,Michael-Mattia
fleurs-mariages.ch Murielle Rapin,Les Marinis 3,1483,Montet (Broye),FR,Rapin,Murielle Chantal
"So Close, Anna Strzempa",Chemin des Liserons 14,1786,Sugiez,FR,Strzempa,Anna
Bureau technique D. Fatio,Chemin des Crosettes 23,1773,Léchelles,FR,Fatio,David Yves
"Anemos, Hayoz Pierre-Alain",Chemin du Forny 8,1637,Charmey (Gruyère),FR,Hayoz,Pierre-Alain
futurmap sàrl,Route d'Oron 138,1676,Chavannes-Forts,FR,Rolle,Jean-François
TWO-SIGMA GmbH,Bergacher 7,3213,Kleinbösingen,FR,Lüthi,Annette
Salam World Investment Holding AG,Boulevard de Pérolles 55,1700,Fribourg,FR,Ajmi,Ridha
"Martine Coiffure, Stern",Rue de Corbières 35,1630,Bulle,FR,Stern,Martine
Tschopp - Coaching und Mediation,Ochsenriedstrasse 9,3185,Schmitten,FR,Tschopp,Martin
Zahntechnik Kissling,Unterführungsstrasse 30,4600,Olten,SO,Kissling,Herbert
Plüss Ostreisen,Weissensteinweg 3,4532,Feldbrunnen,SO,Plüss,Markus-Alphons
Elektro Grimbichler,Thalmattweg 16,4145,Gempen,SO,Grimbichler,Michael
Il Cabarolino Eugenio Gullo,Leberngasse 7,4600,Olten,SO,Gullo,Eugenio
"STRAMAG Strassenmarkierungen, Mathias Roth",Kriegstettenstrasse 54,4563,Gerlafingen,SO,Roth,Antonia
broggi planconsulting,Neumattering 9,4145,Gempen,SO,Broggi,Silvio
Designer Hüsli Priska Bischof,Dorfstrasse 175,4623,Neuendorf,SO,Bischof,Priska
Richard Cosmetics,Bettlachstrasse 2,2540,Grenchen,SO,Richard,Ursula
"Restaurant Bleichenberg, Barua + Co.",Bleichenbergstrasse 48,4562,Biberist,SO,Blättler,Pathum
Gastro und Fahrzeuge Demir & Co.,Berthastrasse 1,4500,Solothurn,SO,Demir,Emrah
Architektur- und Bauingenieurbüro Hans Rudolf & Yasmine Künzler,Oberer Graben 3,4600,Olten,SO,Künzler,Hans Rudolf
"SCHÄRER & PARTNER, Steuer- & Treuhandpraxis",Segetzstrasse 28,4503,Solothurn,SO,Schärer,Christine
Heim & Heim AG,Allmendstrasse 50,4623,Neuendorf,SO,Heim,Luzia
Schreinerei Maik Stuber GmbH,Oberwilstrasse 62,4579,Gossliwil,SO,Stuber,Maik
VET-TONI GmbH,Wolfackerstrasse 13,4657,Dulliken,SO,Surkisi,Skender
Auer Metallbau GmbH,Däderizstrasse 44D,2540,Grenchen,SO,Auer,Andreas
Swiss Cycling Events GmbH,Sportstrasse 44,2540,Grenchen,SO,Peter,Thomas
Xray Shop GmbH,Mattenstrasse 6,4532,Feldbrunnen,SO,Maienfisch,Alexander Urs
PB Media GmbH,Solothurnerstrasse 17,4613,Rickenbach,SO,Bleuer,Philipp
"Sombo AG, Zweigniederlassung Walterswil",Bannerstrasse 2,5746,Walterswil,SO,,
La vie en roses Bettina Scheer,Mittlere Strasse 82,4056,Basel,BS,Scheer,Bettina Esther
Terrasamba Büklü,Feldbergstrasse 71,4057,Basel,BS,Büklü,Burcu
"Derin Market, Dervis Seker",Hegenheimerstrasse 66,4055,Basel,BS,Seker,Dervis
Kaister Kommunikation,Rütimeyerstrasse 3,4054,Basel,BS,Kaister,Stefan
Astride Zankl,Feldbergstrasse 23,4057,Basel,BS,Zankl,Astride Marie-Reine
Swiss ecolight electronics walther,Neubadstrasse 159A,4054,Basel,BS,Walther,Klaus Peter
Putz-Zwirbel Heidi Benz,Peter Ochs-Strasse 55,4059,Basel,BS,Benz,Heidi
"KSchäuble, R. Sahlender und S. Sommer Sahlender, Metallbau und Schlosserei",Markgräflerstrasse 24,4057,Basel,BS,Sigstein,Franz
Enterprising Imports Rohner & Partner,Dornacherstrasse 317,4053,Basel,BS,Rohner,Remo Ivo
Handwerksbäckerei Rebon Mohamedi,Dammerkirchstrasse 80,4056,Basel,BS,Perez Garcia,Melania
ACREDIS Basel AG,Jacob Burckhardt-Strasse 38,4052,Basel,BS,Voigt,Matthias
Excellence 25 Holding AG,Gellertstrasse 18,4052,Basel,BS,Dursteler,Carsten
Schweizerische Liegenschaftsbewertung AG,Wettsteinplatz 3,4058,Basel,BS,Kurz,Roland
"Schneider + Partner AG, Advokatur und Meditation",Dornacherstrasse 8,4053,Basel,BS,Schneider,Silvia
Basel Art Center AG,Riehentorstrasse 33,4058,Basel,BS,Rüthmüller,Matthias
Michael Sönnichsen GmbH,Birsstrasse 320,4052,Basel,BS,Sönnichsen,Michael
Chattle GmbH,Picassoplatz 4,4052,Basel,BS,Heinrich,Simon Robert
Fallo 8 Global GmbH,Rebgasse 28,4058,Basel,BS,Schüpfer,Roland Peter
Vujàdé Law GmbH,Mittlere Strasse 154,4056,Basel,BS,Bouwsma,Jasper
Hozan Bau GmbH,Lehenmattstrasse 280,4052,Basel,BS,Mikerevic,Tamara
HelvetiX Performance GmbH,Vogesenstrasse 132,4056,Basel,BS,Bopp,Micha Kephas
Merkle Dubois GmbH,Sternengasse 23,4051,Basel,BS,Dubois Merkle,Rachel
Yildirim Kiosk GmbH,Waldshuterstrasse 4,4058,Basel,BS,Yildirim,Gonca
MS-Bau GmbH,Voltastrasse 123,4056,Basel,BS,Bjelakovic,Sasa
FM Swissbau GmbH,Davidsbodenstrasse 39,4056,Basel,BS,Petrovic,Nemanja
Gesundheitspraxis Sabine Wachsmann Thurnherr,Hauptstrasse 7,4153,Reinach,BL,Wachsmann Thurnherr,Sabine
Frey Treuhand,Riedstrasse 6,4222,Zwingen,BL,Frey,Brigitte
Walser Menzi-Muck Arbeiten & Tiefbau,Reigoldswilerstrasse 1,4436,Liedertswil,BL,Walser,Verena
Abdel-Malak Taxi & Gastronomie,Hauptstrasse 15,4147,Aesch,BL,Abdel-Malak,Waguih
"Massage Praxis Frenkendorf, Danijela Ambord und Laetitia Steckler",Niederschönthalstrasse 2,4402,Frenkendorf,BL,Ambord,Danijela
Hörberatung Herrmann&Navarro,Rathausstrasse 51,4410,Liestal,BL,Herrmann,Daniel
Baselland Tourismus Services AG,Altmarktstrasse 96,4410,Liestal,BL,Bürgin,Markus
AP Traders AG,Hauptstrasse 103,4415,Lausen,BL,Mäder,Markus
NESSENTIAL AG,Spinnlerstrasse 2,4410,Liestal,BL,Nachbur,Matthias
Leuthardt Maler GmbH,Fiechtenweg 21,4153,Reinach,BL,Leuthardt,Heidi
Ruesch Gastro Solutions GmbH,Hauptstrasse 102,4147,Aesch,BL,Ruesch,Sabine
Del Gusto Liestal GmbH,Mühlegasse 2,4410,Liestal,BL,Buonanno,Espedito
Olio Pizzicantò GmbH,Münsterplatz 10,4102,Binningen,BL,Janiak,Claude
HELIA Suisse GmbH,Angensteinerstrasse 6,4153,Reinach,BL,Thüring,Philipp
Schweizer Heizung Lüftung Sanitär GmbH,Gewerbestrasse 3b,4450,Sissach,BL,Lehota,Dragutin
SLB VIDEO GmbH,Fraumattstrasse 16,4133,Pratteln,BL,Carbotti,Vincenzo
Fahrzeugtechnik Maggio GmbH,Oristalstrasse 85,4410,Liestal,BL,Maggio,Giovanna
KiTa Kunterbunt Pratteln GmbH,Mittelfeldstrasse 10a,4133,Pratteln,BL,Affolter-Veraguth,Mathias
TakeWing GmbH,Chüllerweg 9c,4453,Nusshof,BL,Marsh,Karen Denise
CBR Group GmbH,Muttenzerstrasse 127,4133,Pratteln,BL,Gaetani,Davide
Marjanovic Treuhand GmbH,Zihlackerstrasse 1,4153,Reinach,BL,Marjanovic,Vijoleta
Art-Floor Bodenbeläge GmbH,Libellenstrasse 7,4104,Oberwil,BL,Estermann,Michel
Freemind Activities GmbH,Im Ziegelgarten 7,4104,Oberwil,BL,Hämisegger,Cyrill
SPITEX REGIO LIESTAL,Schützenstrasse 10,4410,Liestal,BL,Aufdereggen Martin,Claudia
QTE - Quality and Testing Experts Kerschbaumer,Mühlenstrasse 12,8217,Wilchingen,SH,Kerschbaumer,Michael Peter
FashionDesign Markovic,Liiberackerweg 7,8223,Guntmadingen,SH,Markovic,Patrick
Autocenter M. Khano & M. Sürensoy,Gewerbestrasse 14,8225,Siblingen,SH,Khano,Aysar
AMICASA AG,Steigstrasse 77,8200,Schaffhausen,SH,Stäheli,Martin Alexander
"Entsorgungs- und Recycling-GmbH, Neuhausen",Industriestrasse 43,8212,Neuhausen am Rheinfall,SH,Suter,Elke Barbara
Caspar Multimedia GmbH,Kaltenbacherstrasse 24,8260,Stein am Rhein,SH,Caspar,Adrian
"Kolin Fahrzeuge AG, Zweigniederlassung Trasadingen",Zollstrasse 34,8219,Trasadingen,SH,,
Sepp Rusch,Nassi 525,9107,Urnäsch,AR,Rusch,Brigitte
"Stutz, Strategie und Innovation",Schützenbergstrasse 18,9053,Teufen,AR,Stutz,Roger Fabian
easyDOK AG,Ramsenburgweg 17,9100,Herisau,AR,Mosciatti,Bruno
"City-Garage AG, St. Gallen",Gerbestrasse 8,9410,Heiden,AR,Sonderegger,Mathias
Koller Metallbearbeitung,Oberbüel 26,9054,Haslen,AI,Koller,Madeleine
MABA Renovationen Umbauten Beratungen Marcel Balzli,Schöttlerstrasse 13,9050,Appenzell,AI,Frei,Astrid Maria
Mike Makus,Spielbergstrasse 13,9413,Oberegg,AI,Makus,Mike Edmond
RS Automobile Müller,Oberdorfstrasse 6,9524,Zuzwil,SG,Müller,Joy Roy
Schönenberger Drum Rental&Sale,Unterplattenstrasse 7,9620,Lichtensteig,SG,Schönenberger,Christian
Paradiso-Steingruber CreativiaB9,Bahnplatz 9,9400,Rorschach,SG,Paradiso,Giuseppe
Christoph Graf Organisationsberatung,Wattstrasse 9,9012,St. Gallen,SG,Graf,Christoph
Stefan Wick Unternehmungen,Werkhofstrasse,9402,Mörschwil,SG,Wick,Stefan
Loher Olaf,Tännelistrasse 22,9462,Montlingen,SG,Loher,Olaf
Plattenbeläge Kevin Inauen,Sonnenweg 1a,9470,Buchs,SG,Inauen,Kevin
Karolina Brägger APS,Altgonzenbach 69,9601,Lütisburg Station,SG,Brägger,Karolina
Raschle Racing,Hof,9620,Lichtensteig,SG,Raschle,Roman
Textilwerkstatt Frank-Bandally,Oberer Graben 42,9000,St. Gallen,SG,Frank,Andreas
"GRAF-Reisen, Allenspach, Inhaber Christian Allenspach",Churerstrasse 188,9471,Buchs,SG,Allenspach,Christian Manuel
Ann's Asian Store Anthonipillai,Singenbergstrasse 12,9000,St. Gallen,SG,Anthonipillai,Joseph
Wenk & Co.,Schönenboden 508,9658,Wildhaus,SG,Sutter,Barbara
Dumont & Senn Selected Goods,Seestrasse 7,8640,Rapperswil,SG,Dumont,Laurent Sébastien
Restaurant Eintracht Karin und Manuel Tobler,Weieren 27,9523,Züberwangen,SG,Tobler,Karin
STRATAX Treuhandgesellschaft Körner & Seeger,Vogelherdweg 7,9500,Wil,SG,Körner,Bigna Christina
KS Fenster und Türen AG,Herbergstrasse 11,9524,Zuzwil,SG,Baumann,Roger
Tuukul AG,Geltenwilenstrasse 8a,9000,St. Gallen,SG,Ammann,Petra
Oberhalden-Park AG,Höhenstrasse 27b,9032,Engelburg,SG,Bösch,Michael
PG Invest AG,Mühlackerstrasse 72,9436,Balgach,SG,Gschwend,Ingo Niklaus
Schwarz International GmbH,Eggwilstrasse 2a,9552,Bronschhofen,SG,Bürgl,Rudolf
PDS Porc GmbH,Eschagger 9,9468,Sax,SG,Gasenzer,Hans Peter
JoGa Gipser GmbH,Linthbettstrasse 14,8717,Benken,SG,Olah,Joszef
Präzitech GmbH,Soorpark,9606,Bütschwil,SG,Bürge,Devis
Pera Metallbau GmbH,Hubstrasse 76,9500,Wil,SG,Pera,Kristian
Verarbeitungscenter Schweiz GmbH,Säntisstrasse 2a,9500,Wil,SG,Fuhrer,Martin
HSS Montagen GmbH,Feldstrasse 36,9445,Rebstein,SG,Sulejmani,Shuajb
FANCY Mode GmbH,Hauptstrasse 48,9400,Rorschach,SG,Karakoc,Sebahattin
Diari Transport GmbH,Seezstrasse 15,8887,Mels,SG,Usejni,Muharem
DKB Handel GmbH,Werdstrasse 22,9444,Diepoldsau,SG,Broger,Daniel
Planung & Montage Keller GmbH,Obstgartenstrasse 4a,9300,Wittenbach,SG,Keller,Adrian
DADAS Night Logistic GmbH,Industriestrasse 149,9200,Gossau,SG,Demirtas,Murat
Solargenossenschaft-Linth,Gasterweg 38,8730,Uznach,SG,Fäh,Marco
Grischott Holz,Domleschgerstrasse 52,7411,Sils im Domleschg,GR,Grischott,Danilo
"Quader-Kebab, Omar Salih Ali",Sägenstrasse 104,7000,Chur,GR,Ali,Omar Salih Ali
"Nicole Fröhlich, NF footstep - happy dogs and people",Kanalstrasse 5,7304,Maienfeld,GR,Fröhlich,Nicole
D&D Design Deflorin & Di Fini,Via Isla,7151,Schluein,GR,Deflorin,Sandro
allDates AG,Bual 11,7157,Siat,GR,Gantner,Christoph
expert Personal AG,Scalettastrasse 96,7000,Chur,GR,Palazzo,Vittorio
GRISCHA FLYING CLUB AG,Via val Tgiern 7a,7017,Flims Dorf,GR,Bardill,Beat
Swiss Cyber Com SA,Cà Rossa,6537,Grono,GR,Pozzi,Angelo Fabio
Frida Fashion GmbH,Welschdörfli 11,7000,Chur,GR,Bernhard,Marcel
HESTE Impianti Sagl,San Roch,6537,Grono,GR,Pizzetti Canato,Elena
Moviemaint GmbH,Industriestrasse 4,7208,Malans,GR,Comps,Fadri
SESO Mode GmbH,Tardisstrasse 109,7302,Landquart,GR,Wellinger,Serafin
Näff GmbH,Plajet 8,7556,Ramosch,GR,Näff,Gian Andrea
Schreinerei Th. Meyer GmbH,Sgnè 125a,7553,Tarasp,GR,Meyer,Emma
TCM Dr. Bin Lin GmbH Praxis für chinesische Medizin,Via S. Placi 2,7180,Disentis/Mustér,GR,Lin,Bin
W. Deimbacher Gastrotechnik GmbH,Maschnixaweg 3,7208,Malans,GR,Deimbacher,Sabine
Vassalli Real Estate GmbH,Plazzet 21,7503,Samedan,GR,Vassalli,Lucia Camilla
"Blitz-Taxi, Alaj",Industriestrasse 44,5000,Aarau,AG,Alaj,Shpend
SMC - SUTER MANAGEMENT CONSULTING,Seilerstrasse 10,5426,Lengnau,AG,Bertozzi,Gabriela
Restaurant Café Famosa Lindenmann,Hauptstrasse 26,5502,Hunzenschwil,AG,Lindenmann,Fritz
Siegenthaler Gartenbau,Hohle Gasse 33,4323,Wallbach,AG,Siegenthaler,Patrick
Swiss Guard Degani,Wiesentalstrasse 8g,8962,Bergdietikon,AG,Degani,Marco
"Eveline Busslinger, Restaurant Schöneck",Hägelerstrasse 1,5453,Remetschwil,AG,Busslinger,Eveline
Bang Capital,Haselrain 12,8956,Killwangen,AG,Bang,Minh Vinh
