Company,Address,Phone,Fax,Email,Website,Contact person,Turnover  
Duchell BV,Sterrenbergweg 40  3769 BT Soesterberg ,+31 346350550,+31 346354130,info@duchell.com,http://www.duchell.com,Mr. D.M.E. van Oosterhout,"8,229,566 EUR"
Dujardin Brandkasten BV,Nijverheidstraat 25  4143 HN Leerdam ,+31 345616110,+31 345610632,info@dujardin.nl,http://www.dujardin.nl,  ,"5,000,000 EUR"
Duni Benelux BV,Tinstraat 15  4823 AA Breda ,+31 765432300,+31 765432333,info@duni.nl,http://www.duni.com,Mrs. I.M. Jansen,"48,556,902 EUR"
Dupaco Distribution BV,Zwarteweg 32  3833 AL Leusden ,+31 334948888,+31 334950520,info@dupaco.nl,http://www.dupaco.nl,Mr. E. Monninkhof,"17,243,648 EUR"
Dupont Holding Netherlands BV,Baanhoekweg 22  3313 LA Dordrecht ,+31 786301011,+31 786163737,info@dupont.com,http://www.nl-dupont.com,Mr. G.P. Tait,"480,370,000 EUR"
Durlinger's Schoenbedrijf BV,Dr. Nolenslaan 115  6136 GM Sittard ,+31 464515757,+31 464528201,info@durlinger.com,http://www.durlinger.com,Mr. R. Durlinger,"24,043,217 EUR"
Dutch Defense Vehicle Systems BV,Varenschut 18  5705 DK Helmond ,+31 492502727,+31 492502764,info@ddvs.nl,http://www.ddvs.nl,Mr. P. Buitenhuis,"34,832,000 EUR"
Dutch Flower Group BV,Magnolia 1  1424 LA De Kwakel ,+31 297389389,+31 297389399,,http://www.dutchflowergroup.nl,Mr. M. van Zijverden,"785,000,000 EUR"
Dutch Green Centre BV,Middel Broekweg 29  2675 KB Honselersdijk ,+31 174637963,+31 174614858,info@dutchgreencentre.com,http://www.dutchgreencentre.com,  ,"15,000,000 EUR"
Dutchi Benelux,Van Oldenbarneveldtstraat 85 A  6828 ZN Arnhem ,+31 263541600,+31 263541650,dutchi.motors@dutchi.nl,http://www.dutchi.com,Mr. F.B.A. Bolk,"14,894,000 EUR"
Dutchi Holding NV,Mors 1 -5  7151 MX Eibergen ,+31 263541600,+31 263541650,,http://www.dutchi.nl,Mr. A. Bienemann,"41,970,345 EUR"
Dutchview BV,Sumatralaan 45  1217 GP Hilversum ,+31 356779666,+31 356773577,info@dutchvieuw.nl,http://www.dutchvieuw.nl,Mr. N. Roest,"103,205,000 EUR"
Dutec Beheer BV,Ecofactorij 20  7325 WC Apeldoorn ,+31 575599301,+31 736211416,info@dutec.nl,http://www.dutec.nl,  ,"172,700,000 EUR"
Duursma Industrietechniek BV,Buitenhavenweg 8  7604 PW Almelo ,+31 546542088,+31 546828709,info@duursma.nl,http://www.duursma.nl,Mr. A. Looijen,"14,863,630 EUR"
Duwel BV,H.A. Lorentzweg 1  2408 AS Alphen a.d. Rijn ,+31 172422600,+31 172422594,info@duweldakmarkt.nl,http://www.duweldakmarkt.nl,Mr. M. Mastenbroek,"5,620,281 EUR"
Duynie Holding BV,Kortsteekterweg 57 A  2407 AJ Alphen a.d. Rijn ,+31 172460606,+31 172473406,info@duynie.nl,http://www.duynie.nl,Mr. G.C.A.M. Corsmit,"1,772,400,000 EUR"
Dycore BV,Ambachtsweg 16  4906 CH Oosterhout ,+31 162477477,+31 162477499,info@dycore.nl,http://www.dycore.nl,Mr. R. van Groesen,"121,000,000 EUR"
Dycore BV,Ambachtsweg 16  4906 CH Oosterhout ,+31 162477477,+31 162477499,info@dycore.nl,http://www.dycore.nl,Mr. B.I. Bergsma,"121,000,000 EUR"
Dyflex BV,Nijverheidsweg 35  3341 LJ Hendrik-Ido-Ambacht ,+31 786833250,+31 786812697,info@dyflexpolymers.com,http://www.dyflex.com,Mr. P. Kirton,"16,634,850 EUR"
Dylan Staal Netherlands BV,Jan van der Heijdenstr 13  3261 LE Oud-Beijerland ,+31 186641555,+31 186618142,info@dylangroup.com,http://www.dylangroup.com,Mr. D.T. Brix,"109,615,781 EUR"
Döhler Holland BV,Albusstraat 5  4903 RG Oosterhout ,+31 162479500,+31 162479585,info@dohler.com,http://www.doehler.com,Mr. W.R. Ludwig,"244,000,000 EUR"
E. & A. Scheer BV,Herengracht 316  1016 CD Amsterdam ,+31 206243412,+31 206220976,info@ea-scheer.com,http://www.rum.nl,Mr. C.E. Vlierboom,"17,500,000 EUR"
E.D.C. Europe Holding BV,Ampereweg 47  4338 PT Middelburg ,+31 118630080,+31 118630070,,http://www.edc-europe.com,Mr. G.M. Gali,"7,284,149 EUR"
Eagle Simrax BV,Hopelerweg 250  6468 XX Kerkrade ,+31 455469222,+31 455464730,,,Mr. D.G.M. van Well,"21,554,118 EUR"
Eao Benelux BV,Kamerlingh Onnesweg 46  3316 GL Dordrecht ,+31 786531700,+31 786531799,,http://www.eao.nl,Mr. D.B.J. Polman,"6,200,000 EUR"
Eastman Chemical BV,Fascinatio Boulevard 602 TM-614  2909 VA Capelle a.d. IJssel ,+31 102402111,+31 102402100,c.vanderheijden@eastman.com,http://www.eastman.com,Mr. J.F.M. Berting,"640,326,000 EUR"
Eaton Industries (Netherlands) B.V.,Europalaan 202  7559 SC Hengelo ,+31 742469111,+31 742464444,info.electric@eaton.com,http://www.eatonelectric.nl,  ,"136,564,000 EUR"
Ecco Emea BV,Hoogoorddreef 15 -6EVERDIEP  1101 BA Amsterdam Z.O. ,+31 204097100,+31 735225090,,http://www.ecco.com/nl,Mr. M.J.A.J.J. Krol,"42,984,148 EUR"
Ecem European Chemical Marketing BV,Hogehilweg 10  1101 CC Amsterdam Z.O. ,+31 203128200,+31 203128210,sales@ecem.com,http://www.ecem.com,Mr. B. Barendse,"123,651,032 EUR"
Eck Stone BV,Witveldweg 40  5951 AV Belfeld ,+31 773260115,+31 773730468,info@eckstone.nl,http://www.eckstone.nl,  ,"14,500,000 EUR"
Eclipse Combustion BV,Zwolleweg 5  2803 PS Gouda ,+31 182556222,+31 182556280,info@eclipsecombustion.com,http://www.eclipsecombustion.com,Mr. J. Corbett,"11,844,012 EUR"
Eco Kompressoren BV,Produktieweg 10  2382 PB Zoeterwoude ,+31 715823456,+31 347329500,info@ingersollrand.nl,http://www.ingersollrand.nl,Mr. P. Boers,"5,899,143 EUR"
Eco Toilet BV,BUKO Bedrijvenpark 4  1943 AG Beverwijk ,+31 251262700,+31 251262701,ecotoilet@buko.nl,http://www.ecotoilet.nl,  ,"6,000,000 EUR"
Ecology Group BV,Herculesweg 6  4338 PL Middelburg ,+31 118679500,+31 118638730,group@ecology-group.nl,http://www.votex.nl,  ,"38,501,225 EUR"
Ecomal Nederland BV,Bovenkerkerweg 41  1185 XA Amstelveen ,+31 203473177,+31 206439303,info@nl.ecomal.com,http://www.ecomal.com,Mr. M.O.E.K. Behlke,"7,013,199 EUR"
Econosto Nederland BV,Cypresbaan 63  2908 LT Capelle a.d. IJssel ,+31 102841100,+31 104516851,info@econosto.com,http://www.econosto.com,Mr. P.H. van den Bent,"93,114,000 EUR"
Ecoval Dairy Trade BV,Postweg 50 A  6523 LD Nijmegen ,+31 243277777,+31 243277770,mail@ecoval.com,http://www.ecoval.com,Mr. S.W.L. Smits,"349,202,000 EUR"
ED&F Man Nederland B.V.,De Ruyterkade 6 6de etage 1013 AA Amsterdam ,+31 207540111,+31 207540122,molassesinfo@edfman.com,http://www.manliquidproducts.com,Mr. C.J. van Ginneken,"68,612,000 EUR"
Edbro Nederland BV,Hoofdweg 1210  2153 LP Nieuw-Vennep ,+31 252675942,+31 252674354,info@edbro.nl,,  ,"38,631,000 EUR"
Edco Eindhoven BV,Adriaan Mulderweg 9 -11  5657 EM Eindhoven ,+31 402501111,+31 402517917,inf0@edco.nl,http://www.edco.nl,Mr. J. Adriaanse,"206,531,273 EUR"
Egbert Kruiswijk Vleesproducten BV,Kamerlingh Onneslaan 18  3401 MZ IJsselstein ,+31 306868420,+31 306868421,kruiswijk@egbertkruiswijk.nl,http://www.egbertkruiswijk.nl,Mr. E.N. Kruiswijk,"88,655,560 EUR"
EGS Euro Graphic Services BV,"Poeldonkweg 5 GEBOUWQ  5216 JX Hertogenbosch,'s- ",+31 736296911,+31 736214465,,http://www.egs.nl,Mr. R.C.J. de Haas,"18,395,640 EUR"
Eijsink Afrekensystemen BV,Saffierstraat 24  7554 TG Hengelo ,+31 742505500,+31 742505225,info@eijsink.nl,http://www.eijsink.nl,Mr. F. Birkenhäger,"13,158,466 EUR"
Eindhovense Toeristen Service BV,Den Engelsman 2 A  6026 RB Maarheeze ,+31 9001511,+31 495590350,info@enjoyvamons.nl,http://www.solmar.nl,Mr. P. Cremers,"35,000,000 EUR"
Eismann BV,Nieuwgraaf 17  6921 RJ Duiven ,+31 263115535,+31 263114442,info@eisenmann.nl,http://www.eismann.nl,Mr. B.J. Platenburg,"8,174,051 EUR"
Ekris Holding BV,Plesmanstraat 45  3905 KZ Veenendaal ,+31 318527676,+31 318525653,veenendaal@ekris.nl,http://www.ekris.nl,Mr. K. Coppoolse,"170,056,000 EUR"
El-O-Matic BV,Asveldweg 11  7556 BR Hengelo ,+31 742561000,+31 742504822,info@elomatic.com,http://www.emerson.com,Mr. B. Dommerholt,"1,083,838,000 EUR"
Elauma BV,"Rhone 38  2491 AP Gravenhage,'s- ",+31 703042700,+31 703832459,info@elauma.nl,http://www.elauma.nl,Mr. A. Schipper,"21,333,534 EUR"
Elcas BV,Linschotenstraat 59  3044 AV Rotterdam ,+31 104627799,+31 102623611,elcas@elcas.nl,http://www.elcas.nl,Mr. Z. Cornelis,"17,600,056 EUR"
Electro ABI B.V.,A. Hofmanweg 60  2031 BL Haarlem ,+31 235319292,+31 235326599,info@abi.nl,http://www.abi.nl,Mr. P. de Bie,"10,700,000 EUR"
Electro-Cirkel BV,Lyonstraat 29  3047 AJ Rotterdam ,+31 102981980,+31 104379910,info@electrocirkel.com,http://www.electrocirkel.com,Mr. P.R. van Soelen,"21,746,000 EUR"
Electrolux Home Products (Nederland) BV,Vennootsweg 1  2404 CG Alphen a.d. Rijn ,+31 172468468,+31 172468523,ap.alphen@electrolux.nl,http://www.electrolux.com,Mr. C.G. Helleman,"169,740,000 EUR"
Electrotechnische Groothandel Horvers BV,Kapitein Nemostraat 64  5015 AM Tilburg ,+31 135363200,+31 135358059,info@horvers.nl,http://www.horvers.nl,Mr. R.A.H.W. van den Hout,"2,500,000,000 EUR"
Elephant Dental BV,Verlengde Lageweg 10  1628 PM Hoorn ,+31 229259000,+31 229259099,elephant-info@dentsply.nl,http://www.elephant-dental.com,Mr. J. Zwaanswijk,"98,197,000 EUR"
Eleq Steenwijk BV,Tukseweg 130  8331 LH Steenwijk ,+31 521533333,+31 521533398,info@eleq.com,http://www.eleq.com,Mr. R. Getreuer,"13,216,320 EUR"
ELFA Elementenfabriek BV,Madridstraat 5 -7  1175 RK Lijnden ,+31 206436972,+31 206439073,info@elfa.nl,http://www.elfa.nl,Mr. P. Schutte,"7,059,000 EUR"
Elinex Power Solutions BV,Wolweverstraat 15  2984 CE Ridderkerk ,+31 180415711,+31 180410636,info@elinex.com,http://www.elinex.com,Mr. H.K.J. van Raamsdonk,"8,021,742 EUR"
Elofer BV,Keskesweg 19  5721 WS Asten ,+31 493680900,+31 493680888,info@elofer.nl,http://www.elofer.nl,Mr. J.H.M. van der Heijden,"55,000,000 EUR"
Elopak BV,Mr. F.J. Haarmanweg 44  4538 AS Terneuzen ,+31 115682000,+31 115617254,info.sales@elopak.nl,http://www.elopak.com,Mr. C. Broere,"302,549,000 EUR"
Elpress BV,Handelstraat 21  5831 AV Boxmeer ,+31 485516969,+31 485550499,verkoop@elpress.nl,http://www.elpress.nl,Mr. M.P.J. Voss,"9,000,000 EUR"
Elsinghorst Staal en Non Ferro BV,Expeditieweg 4  7007 CM Doetinchem ,+31 314368111,+31 314368137,info@elsinghorst.nl,http://www.elsinghorst.nl,Mr. M. Harmsen,"7,300,000 EUR"
Elster-Instromet BV,Munstermanstraat 6  7064 KA Silvolde ,+31 315338911,+31 315338679,info@elster-instromet.nl,http://www.elster-intromet.com,Mr. P. Platschorre,"38,666,348 EUR"
Emballage Industrie en Houthandel Dongen BV,Industriestraat 18  5107 NC Dongen ,+31 162314855,+31 162322100,info@dongenpallets.nl,http://www.dongenpallets.nl,Mr. J. Kemps,"21,089,467 EUR"
Emballagefabriek H. Post BV,Veenweg 1 A  9684 AT Finsterwolde ,+31 597430403,+31 597434400,finsterwolde@pkfpost.nl,http://www.pkfpost.nl,Mr. H.J. Post,"27,499,000 EUR"
Emergo Sportswear BV,Hoofdstraat 23 -25  3971 KA Driebergen-Rijssenburg ,+31 343530101,+31 343530102,info@mcgregor.nl,http://www.mcgregor.nl,Mr. M.J. Schothorst,"127,634,000 EUR"
Eminent Europe BV,W.A. Scholtenlaan 13  9615 TG Kolham ,+31 464746556,+31 464753111,info@javocom.nl,http://www.javocom.nl,Mr. J.A.M. Vonk,"1,100,178,000 EUR"
EMMA Veiligheidsschoenen,Horizonstraat 57  6446 SC Brunssum ,+31 455666556,+31 455666502,sales@emma-schoenen.com,http://www.emma-schoenen.com,Mr. J.T. Sorensen,"185,227,000 EUR"
Enalco (Holland) BV,Honderdland 305  2676 LV Maasdijk ,+31 174510155,+31 174517699,enalco@enalco.nl,http://www.enalco.nl,Mr. L. Lagraauw,"10,000,000 EUR"
Endress + Hauser BV,Nikkelstraat 6  1411 AJ Naarden ,+31 356958611,+31 356958825,info@nl.endress.com,http://www.nl.endress.com,Mr. R.R.P. Hommersen,"32,000,000 EUR"
Eneco Business BV,Marten Meesweg 5  3068 AV Rotterdam ,+31 888951111,+31 104576830,info@eneco.nl,http://www.eneco.nl,Mr. A.D.R.W. Poeth,"1,500,000,000 EUR"
Enerco B.V.,Keerweg 2  6122 CL Buchten ,+31 464819900,+31 464859211,,,Mr. A.G.J. Richelle,"306,898,308 EUR"
Enerco BV,Keerweg 2  6122 CL Buchten ,+31 464819900,+31 464859211,info@enerco.nl,http://www.enerco.nl,Mr. A.G.J. Richelle,"292,448,491 EUR"
Enerflex Energiesystemen Midden BV,Aarbergerweg 5 -7  1435 CA Rijsenhout ,+31 297219700,+31 297219799,info@powertech.nl,http://www.powertech.nl,Mr. C. De Jong,"57,057,000 EUR"
Enerflex Energiesystemen Noord BV,Aarbergerweg 5 -7  1435 CA Rijsenhout ,+31 297219700,+31 297219799,info@powertec.nl,http://www.powertec.nl,  ,"39,869,000 EUR"
Enerflex Energiesystemen Oost BV,Aarbergerweg 5 -7  1435 CA Rijsenhout ,+31 297219700,+31 297219799,,http://www.enerflex.com,  ,"57,057,000 EUR"
Enerflex Energiesystemen West BV,Aarbergerweg 5 -7  1435 CA Rijsenhout ,+31 297219700,+31 297219799,,http://www.landre-ruhaak.nl,Mr. C.W.J. de Jong,"39,869,000 EUR"
Enerflex Energiesystemen Zuid BV,Aarbergerweg 5 -7  1435 CA Rijsenhout ,+31 297219700,+31 347329400,info@enerflex.com,http://www.enerflex.eu,Mr. C. de Jong,"30,238,000 EUR"
Enerpac BV,Galvanistraat 115  6716 AE Ede ,+31 318535911,+31 318525613,info@enerpac.com,http://www.enerpac.com,Mr. T.H.H. den Ridder,"11,976,098 EUR"
Enerpac Integrated Solutions BV,Opaalstraat 44  7554 TS Hengelo ,+31 742422045,+31 742430338,info@hengelo.enerpac.com,http://www.enerpec.com,Mr. J.A.F.C. Naalden,"15,000,000 EUR"
Eni Benelux BV,Eemhavenweg 50  3089 KH Rotterdam ,+31 102941555,+31 104294594,verkoopbenelux@agip.nl,http://www.agipbenelux.nl,Mr. M. Risi,"9,159,000 EUR"
Enkev BV,De Toek 2  1131 PB Volendam ,+31 299364355,+31 299368409,office@enkev.com,http://www.enkev.com,Mr. J. van den Hout,"6,500,000 EUR"
Enthone BV,"Koenendelseweg 29  5222 BG Hertogenbosch,'s- ",+31 736280111,+31 736219283,enthone.nl@cooksonelectronics.com,http://www.enthone.nl,Mr. W. Cornelissen,"18,221,000 EUR"
Eppendorf Logistics Netherlands BV,Kerkenbos 1101  6546 BC Nijmegen ,+31 243717600,+31 243717640,sales@nbsbv.nl,http://www.nbsc.com,Mr. E.J.M. van Weert,"15,005,949 EUR"
Eputan Kunststoftechniek BV,Energieweg 6  4231 DJ Meerkerk ,+31 183354700,+31 183354740,info@eputan.nl,http://www.eputan.nl,Mr. J. Swank,"16,630,881 EUR"
Ergotron Inc.,Beeldschermweg 3  3821 AH Amersfoort ,+31 334545600,+31 334545649,info@ergrotron.com,http://www.ergotron.com,  ,"14,300,186 EUR"
Erico BV,Jules Verneweg 75  5015 BG Tilburg ,+31 135835100,+31 135835199,info@erico.nl,http://www.erico.com,Mr. W.H. Roj,"127,627,000 EUR"
Erico Europe BV,Jules Verneweg 75  5015 BG Tilburg ,+31 135835100,+31 135835499,,http://www.erico.com,Mr. W.H. Roj,"127,627,000 EUR"
Eromes BV,Nieuweweg 240  6603 BV Wijchen ,+31 247502300,+31 247502301,info@eromes.nl,http://www.eromes.nl,Mr. R.A. Gomersbach,"17,750,000 EUR"
Erven Warnink BV,Oosthavendijk 38  3241 LK Middelharnis ,+31 187488011,+31 187485352,,,Mr. B.R. Semeijns de Vries van Doesburgh,"64,235,000 EUR"
Esab Nederland BV,Amersfoortsestraat 124 C  3769 AN Soesterberg ,+31 334223574,+31 334223574,info@esab.com,http://www.esab.nl,Mr. M. Stemvers,"14,300,000 EUR"
Esco Aandrijvingen BV,Ondernemingsweg 19  2404 HM Alphen a.d. Rijn ,+31 172423333,+31 172423342,info@esco-aandrijvingen.nl,http://www.esco-aandrijvingen.nl,Mr. H.E. Hoeneveld,"5,000,000 EUR"
ESD-Sic BV,Kloosterlaan 11 -13  9936 TE Farmsum ,+31 596637222,+31 596610738,info@esd-sic.nl,http://www.esd-sic.nl,Mr. C.L. König,"55,503,414 EUR"
Esmé Interieurbouw BV,Stavangerweg 10  9723 JC Groningen ,+31 505470044,+31 505419257,info@esme.nl,http://www.esme.nl,Mr. J.A.J. van der Werff,"5,000,000 EUR"
Espresso Holland BV,Nijverheidsweg 1  3641 RP Mijdrecht ,+31 297284030,+31 297284035,,http://www.smitdorlas.nl,Mr. W.G.A. de Laat,"278,622,000 EUR"
Estee Lauder BV,Safariweg 50  3605 MA Maarssen ,+31 346586586,+31 346586580,,http://www.esteelauder.nl,Mr. N. Moris,"38,383,033 EUR"
ETC Nederland BV,Tolnasingel 2  2411 PV Bodegraven ,+31 172634555,+31 172634570,monique.van.nieuwpoort@sch-groep.nl,http://www.etcdistribution.nl,  ,"452,590,000 EUR"
ETF Machinefabriek BV,Randweg Zuid 11  6031 SX Nederweert ,+31 495677000,+31 495632323,sales@etf.nl,http://www.etf.nl,Mr. R.J.J. Koppens,"11,465,943 EUR"
Etiflex BV,Strangeweg 18  7731 GW Ommen ,+31 529451326,+31 529451344,info@etiflex.nl,http://www.etiflex.nl,Mr. M. Arends,"10,800,000 EUR"
Euro Grass BV,Zelder 1  6599 EG Ven Zelderheide ,+31 485550610,+31 485515225,info@eurograss.nl,http://www.eurograss.nl,Mr. E. van Sligter,"34,449,590 EUR"
Euro Senko BV,Marco Polostraat 16 -20  3165 AL Rotterdam-Albrandswaard ,+31 102623977,+31 102623656,info@eurosenko.nl,http://www.eurosenko.nl,Mr. O. Yokoyama,"5,051,080 EUR"
Eurocast BV,Kayersdijk 31  7332 AH Apeldoorn ,+31 555381500,+31 555425849,,http://www.eurocast.nl,Mr. M.A.J.M. Abbenhuis,"1,682,800,000 EUR"
Euromac BV,Kokosstraat 20  8281 JC Genemuiden ,+31 383854321,+31 383856464,info@euromac.nl,http://www.euromac.nl,Mr. W.J. Bakker,"12,000,000 EUR"
Euromaster Banden Services B.V.,Lübeckstraat 2  7418 EC Deventer ,+31 570679790,+31 570679750,info@nl.euromaster.com,http://www.euromaster.nl,  ,"128,412,000 EUR"
Europcar Autoverhuur BV,"Binckhorstlaan 297  2516 BC Gravenhage,'s- ",+31 703811845,+31 703811866,info@europcar.nl,http://www.europcar.nl,Mr. P. Hubregtse,"203,608,000 EUR"
European Auto Trader BV,Capellalaan 65  2132 JL Hoofddorp ,+31 887518888,+31 346587301,info@autotrader.nl,http://www.autotrader.nl,Mr. J.W. Kleinjan,"960,451,000 EUR"
European Metal Recycling BV,Quebecstraat 3  3197 KL Botlek ,+31 181291212,+31 181291234,info.rotterdam@emrbv.com,http://www.emrltd.com,Mr. T.J. Jager,"211,557,524 EUR"
Europrovyl BV,Uterwei 3  9284 XL Augustinusga ,+31 512359999,+31 512359950,info@europrovyl.nl,http://www.europrovyl.nl,Mr. R.J.M.M. Meersschaert,"191,056,000 EUR"
Euroresins Benelux BV,Meemortel 47 B  6021 AD Budel ,+31 495584910,+31 495584920,info@euroresins.com,http://www.euroresins.com,Mr. M.P.M. Curvers,"12,459,000 EUR"
Eurose & Greens BV,Prunus 14  1424 LD De Kwakel ,+31 297324276,+31 297329721,info@euroseandgreens.com,http://www.euroseandgreens.com,Mr. H.E. Struve,"16,246,141 EUR"
Eurostrip BV,"Ketelaarskampweg 9 A  5222 AL Hertogenbosch,'s- ",+31 499483333,+31 499483384,info@decor.nl,http://www.decorson.nl,Mr. N.J.M. Witlox,"60,081,554 EUR"
Eurovet Animal Health BV,Handelsweg 25  5531 AE Bladel ,+31 497544300,+31 497544302,receptie@eurovet-ah.com,http://www.eurovetanimalhealth.com,Mr. R. Schoenmakers,"222,332,725 EUR"
Eurovite Nederland BV,Galvanistraat 12  6716 AE Ede ,+31 318664555,+31 318664533,info@eurovite.nl,http://www.eurovite.nl,Mr. H.W. van de Beek,"31,000,000 EUR"
Evva Nederland BV,Aquamarijnstraat 7  7554 NM Hengelo ,+31 748515300,+31 748515349,info@evva.nl,http://www.evva.nl,Mr. C.J.H. Nijhuis,"6,600,000 EUR"
Exendis BV,Keesomstraat 4  6716 AB Ede ,+31 318676111,+31 318624615,info@exendis.com,http://www.exendis.com,Mr. J. Gerrist,"9,075,604 EUR"
Expeditiebedrijf H. Nijdam BV,Peizerweg 99  9727 AJ Groningen ,+31 505262688,+31 505271271,info@nijdamexpeditie.nl,http://www.nijdamexpeditie.nl,Mr. A. Nijdam,"7,706,000 EUR"
Exploitatiemaatschappij Duursma BV,Wilmersdorf 20  7327 AC Apeldoorn ,+31 555384747,+31 555384729,info@duursma.nl,http://www.duursma.nl,Mr. A. Looijen,"25,406,267 EUR"
Exploitatiemaatschappij Meulenberg Urmond BV,Paalweg 11  6129 EZ Urmond ,+31 464268080,+31 464337525,container@meulenberg.com,http://www.meulenberg.com,Mr. W.A.G. Meulenberg,"11,853,559 EUR"
Export Mouterij Nederland (E.M.N.) BV,Churchillweg 62 -64  6706 AD Wageningen ,+31 317423797,+31 317417831,,,Mr. G.P.M.R. Dekkers,"476,461,000 EUR"
Exxonmobil Chemical Holland BV,Botlekweg 121 HAVENNR-40  3197 KA Botlek ,+31 104875911,+31 104874273,rotterdamref.ebv@esso.com,http://www.exxonmobil.com,Mr. J.M. van Roost,"3,443,852,000 EUR"
F. Wellink Lekkerkerk BV,Jan Tomstraat 10  2941 CD Lekkerkerk ,+31 180663100,+31 180663031,info@wellink.com,http://www.wellink.com,Mr. P.W.M. Wellink,"18,000,000 EUR"
Faan Zuidhorn BV,Oppers 58  8471 ZM Wolvega ,+31 561611000,+31 561612401,info@fzorganicfood.com,http://www.fzorganicfood.com,Mr. F.A. Andringa,"5,000,000 EUR"
Faber Group NV,Deccaweg 30  1042 AD Amsterdam ,+31 204801100,+31 204801191,verkoop@faberpro-motion.nl,http://www.faberpro-motion.com,Mr. C.M. Koppelaar,"22,000,000 EUR"
Faber Vlaggen B.V.,Deccaweg 30  1042 AD Amsterdam ,+31 204801100,+31 204801111,sales@faberpro-motion.com,http://www.faberpro-motion.nl,Mr. C.M. Koppelaar,"22,000,000 EUR"
Fabory Centre Ede,Morsestraat 18  6716 AH Ede ,+31 318637240,+31 318630722,ede@faborycentre.com,http://www.faborycentres.com,Mr. J.M.W. Geerts,"268,631,000 EUR"
FABORY Centre Haaglanden,Gildeweg 4  2632 BA Nootdorp ,+31 153621560,+31 153621570,haaglanden@faborycentre.nl,http://www.faborycentres.com,Mr. J.M.W. Geerts,"268,631,000 EUR"
FABORY Centre Leeuwarden,Ampèrestraat 16  8912 AD Leeuwarden ,+31 582983444,+31 582125781,leeuwarden@faborycentre.com,http://www.faborycentres.com,Mr. J.M.W. Geerts,"268,631,000 EUR"
Fabory Centre Ridderkerk,Leidekkerstraat 4  2984 AV Ridderkerk ,+31 180442222,+31 180442229,ridderkerk@faborycentre.com,http://www.fabory.com,Mr. J.M.W. Geerts,"268,631,000 EUR"
FABORY Nederland B.V.,Zevenheuvelenweg 44  5048 AN Tilburg ,+31 135390200,+31 135390249,info@fabory.com,http://www.fabory.com,Mr. E. Zegeling,"268,631,000 EUR"
Façadis BV,Zutphenstraat 10  7575 EJ Oldenzaal ,+31 541572030,+31 541572040,info@facadis.nl,http://www.facadis.nl,Mr. B.H.J. Leusenkamp,"6,450,000 EUR"
Facet Industrial BV,Damsluisweg 40 A  1332 ED Almere ,+31 365320004,+31 365321640,holland@facetinternational.net,http://www.facetinternational.net,Mr. M. Leyseele,"7,337,317 EUR"
Facom Gereedschappen BV,Kamerlingh Onnesweg 2  4131 PK Vianen ,+31 347362362,+31 347376020,info@facom.nl,http://www.facom.com,Mr. B.J.A.M. le Grelle,"6,880,000 EUR"
Facultatieve Technologies Nederland BV,"Van Stolkweg 29 A  2585 JN Gravenhage,'s- ",+31 703518888,+31 703518891,,http://www.facultatieve-technologies.nl,Mr. N.G.M. Willemse,"80,472,388 EUR"
Fagerhult BV,Lichtschip 19  3991 CP Houten ,+31 306889900,+31 306889944,lighting@fagerhult.nl,http://www.fagerhult.nl,Mr. M.H.L. Barenbrug,"21,485,000 EUR"
Falke Nederland BV,Keienbergweg 43  1101 EX Amsterdam Z.O. ,+31 206170530,+31 206158556,info.nl@falke.com,http://www.falke.com,  ,"10,000,000 EUR"
Fancom BV,Industrieterr Panningen 34  5981 NK Panningen ,+31 773069600,+31 773069601,fancom@fancom.com,http://www.fancom.com,Mr. P.W.H.F. Smits,"25,896,000 EUR"
Farm Frites BV,Molendijk 108  3227 CD Oudenhoorn ,+31 181466888,+31 181461350,info@farmfrites.com,http://www.farmfrites.com,Mr. P.H. de Bruijne,"313,790,000 EUR"
Farnell (Netherlands) BV,Nautilusweg 39  3542 AT Utrecht ,+31 302417373,+31 302417333,hollandsales@farnell.com,http://www.farnell.com,Mr. A.C. Fisher,"22,000,000 EUR"
Fashion Concept BV,Euroweg 25  3825 HA Amersfoort ,+31 334343050,+31 355314810,gant@fashionconsept.nl,http://www.gant.com,  ,"24,000,000 EUR"
Fassaert Beton BV,Industrieweg-Zuid 19  4554 LL Westdorpe ,+31 115456260,+31 115472852,info@fassaertbeton.nl,http://www.fassaertbeton.nl,Mr. W. Vet,"454,827,000 EUR"
Faurecia Automotive Seating B.V.,Kleibergweg 7  6136 KL Sittard ,+31 464207878,+31 464207882,,http://www.faurecia.com,Mr. B.J. Meier,"33,582,000 EUR"
Favory Productie Nederland BV,Voltstraat 2  5753 RL Deurne ,+31 493316901,+31 493314839,info@habekzeisner.nl,http://www.habekzeisner.nl,Mr. H.J.G.M. Beukers,"710,800,000 EUR"
Federal By-Products (Holland) BV,Industrieweg 161  5683 CC Best ,+31 499390890,+31 499370237,mail@fedby.com,http://www.fedby.com,Mr. R.P.B. van der Molen,"13,034,823 EUR"
Feeder One B.V.,Oosteinde 16  9301 ZP Roden ,+31 886600000,+31 306053357,agz@agz.-roden.com,,Mr. J.H.A.S. Biesheuvel,"86,495,959 EUR"
Fei Electron Optics B.V.,Achtseweg Noord 5  5651 GG Eindhoven ,+31 402356000,+31 402356130,info@nl.feico.com,"http://www.fei,com",Mr. R.H.J. Fastenau,"149,318,000 EUR"
