AMMTO Manure Managemnt Technology Supplier Contact List,,,,,,,,,
Company Name,Contact Person,Email,Phone No.,Fax No. ,Street Address,Town,Province,Country,Postal Code
"Ferm Tech, Inc.",Dirk Quartemont,dqdude@compuserve.com,HO: +49 2247 757299 (+49 2247 89 789),HO: +49 2247 757312 (+49 2247 89 694),Gretelweg 2,D-53819 Neunkirchen,,GERMANY,
Fibrowatt Inc./Fibrowatt LLC,Anne Donato,anne.donato@FibrowattUSA.com ,215-321 4866 x103,215-321-3909,"Makefield Executive Quarters, 301 Oxford Valley Road, Suite 704A",Yardley,PA ,USA,19067
Filtration & Separation Dynamics,Karen Chmitz,sales@fsdfilters.com,1-800-937-1456 or 716-549-2500,716-549-3950,9542 Hardpan Rd.,Angola,NY,USA,14006
First American Scientific Corporation,Brian Nichols / James Holland,info@fasc.net / jholland@fasc.net,1 800 561-8656 or 604- 575- 3006,604-575-3166,5333 - 176th Street,Surrey,BC,CANADA,V3S 0L5
"Fischer Enterprises, Inc. ",,,515-378-3365 Disconnected,515-378-3375 Disconnected,2415 Utah Ave.,Thor,IA ,USA,50591
"Fox Engineering Associates, Inc.",Dale Watson,dwatson@foxeng.com,515-233-0000   ,515-233-0103,1531 Airport Rd.,Ames,IA,USA,50010
Fraunhofer IGB,Prof. Dr. W. Trösch,troe@igb.fhg.de,+49 7119 70-42 20,+49 7119 70-42 00,Nobelstrasse 12,70569 Stuttgart,,GERMANY,
Fritz Concrete Inc. ,Tom Fritz,fricon@bmts.com ,519-366-2253,,"R.R.1, 173 Conc. #6 ",Chepstow,ON,CANADA,N0G 1K0 
Fukui North America,LeeAnn Reinert,leeann@fukuina.com,613-628-2082,613-628-2688,"P.O. Box 669, 110-B Bonnechere Road",Eganville,ON,CANADA,K0K 1T0
Full Circle Organics Inc.,Chris,chris@village.walton.on.ca,519-887-6735,,,Walton,ON,CANADA,N0K 1Z0 
"G.T. Environmental Technology, Inc. ",Stuart Bank,gtenvtec@flash.net ,281-997-0200,281-997-0201,7801-C Thomson Street,Pearland,TX,USA,77581
Gagnon Renewable Resources Inc.,Rick Gagnon,rgagnon1@onlink.net,705-282-2909,705-282-0597,R.R. #2,Gore Bay,ON,CANADA,P0P 1H0
GangaGen Life Sciences Inc. ,Kishore Murthy ,kmurthy@gangagen.com,613-225-8957,613-225-2223,"Suite 1, Building 400, Ottawa Biotechnology Incubation Centre, 1740 Woodroffe Avenue",Ottawa,ON,CANADA,K2G 3R8
GBU mbH ,,info@gbunet.de ,+49-6251-801-0 ,+49 6251 801-180,Wiesenstraße 1 ,64625 Bensheim,,GERMANY,
General*Bioenergy,Phillip Badger,info@bioenergyupdate.com,256-740-5634,256-740-5635,3115 Northington Crt. ,Florence,Alabama,USA,35630
GeoPacific Lining,William Wolfe,geopacific@cresmont.com (fatal),206-284-2378 (disconnected)  ,206-283-7068,P.O. Box 94606,Seattle,WA,USA,98124-6906
"GHD, Inc",Steve Dovorak,,920-849-9797 ,920-849-9160,P.0 Box 69,Chilton,WI,USA,53014
Global Earth Products Inc.,Tom Smith,globalearth@yahoo.com,705-726-1339,705-721-4091 ,R.R. # 2,Utopia,ON,CANADA,L0M 1T0
Global Recycling Technologies Inc. (GRT),Henry Dayday,,,,,,,,
"Global Repair, Administrative Offices and Distributor for Sittler's Manufacturing",Valerie Moen,sales@globalrepair.ca,416-686-3690,416-686-1744,33 Bellefair Avenue,Toronto,ON,CANADA,M4L 3T7
Global Resource Recovery Organization,Carol,info@grro.net cjfarbs@aol.com,1-888-298-1812 or 941-782-5530 ,941-782-5532 ,6150 S.R. 70 E,Bradenton,FL ,USA,34203
Graveson Energy Management,Donald Weltz,d.weltz@sympatico.ca,519-373-2734,519-371-8852,200 6th Ave West,Owen Sound,On,Canada,N4K 6H5
Groupe Dynaco,Rosaire Beaulieu ,dynaco@dynaco.ca,418-856-3807,418-856-4952,"87, route 132 ouest",La Pocatière,QC,CANADA,G0R 1Z0
H2Flow Equipment Inc. ,Michael Albanese,Michael@h2flow.com,905-264-2188,905-264-2062,"80 Carlauren Rd., Unit #24",Woodbridge,ON,CANADA,L4L 7Z5
Haase Energietechnik GmbH,Oliver Martens,oliver.martens@haase.de orinfo@haase-energietechnik.de,+49 4321 878-247 ,+49 4321 87829,Gadelanderstraße 172,D-22531 Neumünster,,GERMANY,
"Hadley and Bennett, Inc.",Spencer Bennett,bennettfarm@conknet.com,603-428-3851  ,603-428-3851,P.O. Box 517,Henniker,NH,USA,03242 
HARCO AG EQUIPMENT,Jim Harkness,harquip@wightman.ca,519-338-2923,519-338-3946,"R.R. #4, 5808 Hwy 9",Harriston,ON,CANADA,N0G 1Z0
Harolds Equipment Inc.,Harold,info@haroldsequipment.com,330-893-2348 or 1-800-905-0940,330-893-3459,2120 CR 168,Dundee,OH,USA,44624
HETEK Solutions Inc. ,G. Wayne Hennigar,wayneh@healthtd.com,519-659-1144,519-453-2182,2085 Piper Lane,London,ON,CANADA,"N5V 3S5
"
HGC: Hamburg Gas Consult,Guido Gummert,,+49 40 235 33 0,+49 40 235 333 730,Heidenkampsweg 101,D-20097 Hamburg,,GERMANY,
Hoffland Environmental Inc. ,Robert O. Hoffland,hoffland@flex.net,936-856-4515,936-856-4589 ,10391 Silver Springs Road,Conroe,TX,USA,77303-1602 
Holbec Inc.,,holbec@holbec.qc.ca,514-379-9214,514-379-9011,831 rue Principale ,St-Paul d'Abbotsford ,QC,CANADA,J0E 1A0
Holland Equipment Limited,Joe Todd - Matt Mayer (ON sales rep),aerway@thehollandgroupinc.com - matt.mayer@aerway.com,519-863-3414 or 1-800-457-8310,519-863-2398,20 Phoebe Street,Norwich,ON,CANADA,N0J 1P0
Horton CBI,Mark Stobart,mstobart@chicagobridge.com,403-264-1333,403-266-2453,45 Hampton Cres. NW,Calgary,AL,CANADA,T3A 5W1
Husky Farm Equipment,,husky@agdealer.com,519-846-5329,519-846-9378,7440 Wellington Road 17,Alma,ON,CANADA,N0B 1A0
Hydra-Logic Systems Inc.,Bill Ormsby,ormsby@hydrastatic.com,705-735-9535,705-735-9540,210 Saunder Road,Barrie,ON,CANADA,L4N 9A2
Hydra-Static Systems Inc.,Bill Ormsby,ormsby@hydrastatic.com,705-735-9535,705-735-9540,210 Saunder Road,Barrie,ON ,CANADA,L4N 9A2
"Hydro Agri North America, Inc.",Odourless,,1-800-869-8764 or 813-222-5700,"813-222-3855
","100 North Tampa Street, Suite 3200",Tampa,FL ,USA,33602
Hygrex Spher Industries,Erwin Spehr,hygrex@aol.com,905-951-3145,905-951-3264,"11 Holland Drive, Suite 5/6, P.O. Box 346",Bolton,ON,CANADA,L7E 5T3
Illumina,Tom McBurney,illumina-inter@rogers.com,519-635-0435,519-741-2016   ,,Kitchener,ON,CANADA,
IMC Global,Dirk Ax,"daprichard@imcglobal.com
",847-739-1427,847-739-1632,"100 S. Saunders Rd., Suite 300",Lake Forest,IL,USA ,60045-2561
IMK BEG Bioenergie GmbH,,,+49 2366 305 262,+49 2366 305 230,Konrad Adenauerstraße 9-13,D-45699 Herning,,GERMANY,
Integrated Waste Systems Inc.,Bob Ferguson,ferguson@cadvision.com,403-547-2123,,201 Ganson St. ,Buffalo,NY,USA,14203
International Bio-Recovery Corp.,Dr. Fahimeh Mirminachi or Ben Van Dyk,fmirminachi@ibrcorp.com or benvandyk@ibrcorp.com,604-924-1023,604-924-1043,52 Riverside Drive,North Vancouver,BC,CANADA,V7H 1T4
International Bio-Recovery Corporation,J. Harry Prenger,,613-565-8309 or 1-888-258-8988,,#2804-221 Lyon St. North,Ottawa,ON,CANADA,K1R 7X5
"Ionics Italba, SpA",,,+39 226 000 426,+39 227 079 291,Via G. Livraghi /B,I-20126 Milano MI,,ITALY,
Iowa State University, Shihwu Sung ,sung@iastate.edu,515-294-3896,,"376 Town Engineering, Iowa State University",Ames,IA,USA,50011
IPEC,,sales@ipec-screens.com,604-291-7150 or 1-800-663-8409,604-291-7190,2889 Norland Ave.,Burnaby,BC,CANADA,V5A 3A9
JET-PRO Company Inc. ,Sheryl???,,513-325-9811,,,Springfield,OH,USA,44501
JF BioEnergy Inc ,John Flottvik,"jovick@telus.net
",604-556-3542,604-556-3547,# 201-33555 South Fraser Way ,Abbotsford,BC,CANADA,V2S 2B8
Jim Wilkins Consulting (CDN rep for American Eco-Systems Inc.),Jim Wilkins,,519-376-5335,519-376-4317,2594  GREY ROAD 18 ,Owen Sound,ON,CANADA,
Jysk Biogas A/S,Kjeld Johansen,,+45 98 333 234,+45 98 678 711,Haals Bygade 15,DK-9260 Gistrup,,DENMARK,
KC Environmental Group Ltd. ,Margaret Marra Angella Vertzaya,margaret@cleanitgreenit.net angella@cleanitgreenit.net,780-488-7926,780-452-8284,15619-112 Avenue,Edmonton,AL,CANADA,T5M 2V8
Kennedy Enterprises,Dave Kennedy,,641-444-3736,,508 3rd Avenue NE,Belmond,IA,USA,50421
KMW Group,Bengt Jobe,bjobe@kmwgroup.com,519-686-1771,519-686-1132,3330 White Oak Rd,London,ON,CANADA,N6E 1L8
"Koch Membrane Systems, Inc.   ",Kevin Donahue,donahuek@kochind.com  kochmem@kochind.com,978-694-7175,978-694-7020,850 Main Street   ,Wilmington,MA,USA,01887
Kompogas AG,,info@kompogas.ch,+41 1 809 7100,+41 1 809 7110,Rohrstraße 36,CH-8152 Glattbrugg,,SWITZERLAND,
Krüger A/S,Karsten Buchhave,,+45 8746 3300,+45 8746 3420,Klamsagervej 2-4,DK-8230 Åbyhøj,,DENMARK,
Kyte Centrifuge Sales and Consulting,Kenneth Kyte,kyte.ken@juno.com,252-633-5783,252-633-4826,4901 Morton Road,New Bern ,NC,USA,28562
K-Zyme Laboratories,,,540-989-1216,540-989-1217,"3807 Brandon Rd., Suite 217",Roanoke,VA,USA,24018
Landa Water Blaze / RGF,Graham Johnson,,800-562-4993 or 360-833-2874,,4275 NW Pacific Rim Blvd.,Camas,WA,USA,98607
Larsen Engineers,Ram Shrivastava,,(716) 585-272-7310,585-272-0159,700 West Metro Park,Rochester,NY,USA,14623-2678
Layfield Geosynthetics & Industrial Fabrics Ltd,Mark Simpson,msimpson@layfieldgroup.com,905-761-9123,905-761-0035,"Unit 53, 8600 Keele Street ",Concord,ON,CANADA,L4K 4H8
Legoff Ltée.,Yves Legoff,,819-472-3271,819-472-4087,"1001 rue Bernier, C.P.365",Drummondville,QC,CANADA,J2B 6W3
"LEMNA TECHNOLOGIES, INC.",Jim Martin,jmartin@lemna.com ,612-253-2002,612-253-2003,2445 Park Avenue,Minneapolis,WI,USA,55404
Les Composts du Québec inc.,Roch Buteau,composts@composts.com ,418-882-2736,418-882-2255,"415, chemin Plaisance, C.P. 448",Saint-Henri,QC,CANADA,G0R 3EO
Les Œufs Breton Ltée,Yves Martineau,divenv@globetrotter.net,418-475-6601,418-475-4433,"1312, rue Saint-George",Saint-Bernard-de-Beauce,QC,CANADA,G0S 2J0
Linde-KCA-Dresden GmbH,Gerhard Langhans,gerhard_langhans@lkca.de,+49 3 51 250-3124,+49 3 51 250-48 26 / 4847,Bodenbacher Strasse 80 / P.O.B 210353,D-01277 Dresden / 01265 Dresden,,GERMANY,
"LIPP GmbH, Systemes de Biogaz LIPP",R. Lipp / Roland Mittner,info@lipp-system.de mittbril@qc.aira.com,+49-7964-9003-0 819-842-2565,+49-7964-9003-27,"Industriestrasse 36, 18 route 143 sud",73497 Tannhausen  North Hatley,QC,CANADA,Y0B 2C0
Lock Four,Mr. Stacey Gettier,swg@erols.com,804-834-8317 ,,P.O. Box 474,Waverly,VA,USA,23890
Lystek International Inc. ,Frank Hovey,frank.hovey@lystek.com,519-880-2170,519-747-8125,"Suite 107, 279 Weber Street North",Waterloo,ON,CANADA,N2J 3H8
M.J. Silver & Associates,Michael Silver,mjsilver@sprint.ca,204-489-7458,204-489-7458,"Box 424, Station L",Winnipeg,MB,CANADA,R3H 0Z6
Mabarex Inc.,Louis Barré,mabarex@mabarex.com,514-334-6721,514-332-1775,2021 Halpern St.,St-Laurent,QC,CANADA,H4S 1S3
Maltin Pollution Control Systems Ltd,Chris Maltin,,+44 1963 370 100,+44 1963 371 300,Gould’s House,Horsington,Somerset ,UNITED KINGDOM,BA8 0EW
"Mason Dixon Farms, Inc.",Sir/Madam,mdf@cvn.net ,717-334-4056,717-334-1633 ,1800 Mason Dixon Road ,Gettysburg,PA ,USA,17325
Meunerie J.B. Dionne et fils,Jean-Marie Dionne,jbdionne@globetrotter.qc.ca,418-775-7713,418-775-9702,"1674, boul. Gaboury, C.P.5",Mont-Joli,QC,CANADA,G5H 3K8
"Microgy Cogeneration Systems, Inc.",Benjamin Brant,bbrant@microgy.com ,303-384-9402 ,303-384-9403,"1767A Denver West Blvd., Suite 15",Golden,CO,USA,80401
"Microgy Cogeneration Systems, Inc.",Dan Eastman,deastman@microgy.com,262-242-9430,,,,,,
"Micro-Link, LLC",Tom Walkins,microbelink@worldnet.att.net,716-633-5678 or 5980,716-633-6614,110 Surrey Run ,Williamsville,NY,USA,14221
"Milieu-Nomics, Inc. ",Dan Williamson,dwilliamson@milieu-nomics.com,630-871-9010,630-871-0303,"The DuPage Technology Center, 100 Bridge Street",Wheaton,IL,USA,60187
"Monsanto Enviro-Chem Systems, Inc.",Steve Meyer,"enviroch@na1.monsanto.com
","314-275-5700 
",314-275-5701 ,14522 South Outer Forty Road,St. Louis,MO ,USA,63017  
Motherwell Bridge Envirotech Ltd,,,+44 1698 266 111,+44 1698 269 774,P.O. Box 4,Logans Road,Motherwell,UNITED KINGDOM,ML1 3NP
MPL Industies Ltd. ,Gérald Lagacé, lagace.gerald@sympatico.ca,705-721-4475,,61 Hanmer Street East,Barrie,ON,CANADA,L4M 6V3
MTS Environmental Products ,Paul Revington,,519-235-2808 / 1-800-294-9725,519-235-1074,215 Pickard Road,Exeter ,ON,CANADA,N0M 1S3
"National Environmental Technologies, Inc.",,,"910-529-0232 
",,,Charlotte,NC,USA,
"NaTRx, Inc. ",Ben Foster,"ben@npti-natrx.com 
",1-888-628-7948,,203 S. Main,Muleshoe,TX,USA,79347
"Natural Aeration, Inc.","Gary Wegner, CEO","naturalaeration@circul8.com 
",509-796-4825,509-796-4826,"@ Wegner Ranch, 28598 North Riffe Road",Reardan,WA,USA,99029
NEK Environmental technologies Inc.,Benjamin Strehler,bstrehler@nek.ca,613-224-1594,613-224-1642,"1390 Prince of Whales Drive, Suite 107",Ottawa,ON,CANADA,K2C 3J6
NEO PRODUCTS,,,888-977-4848 wrong,517-743-8240,448 E. Oliver St.,Corunna,MI,USA,48817
NEP Canada,Bernie Hertzman/ Paul Demaleco,cleen@sprint.ca,905-737-0172 cell: 416-821-8703,905-737-0162,70 Newkirk Road,Richmond Hill,ON,CANADA,L4C 3G3
NewBio,Mike Gratz,mike@newbio.com,612-476-6194,612-476-8622,"Suite 920, 15500 Wayzata Boulevard",Wayzata,MN,USA,55391
"NNR: Nellemann, Nielsen & Rauschenberger A/S",Lars Baadstorp,,+45 86 147 111,+45 86 140 088,V. Kongevej 4-6,DK-8260 Vibe J,,DENMARK,
NORAM Engineering and Constructors Ltd.,Steven Fopora,sfopora@noram-eng.com wastewatersales@noram-eng.com ,604-681-2030  ,604-683-9164,400-200 Granville Street,Vancouver,BC,CANADA,V6C 1S4
Norlen Systems Inc.,Glenn McKonkey,norlen@on.aibn.com,613-394-1922,613-394-4311,340 Sydney Street,Trenton,ON,CANADA,K8V 5R6
"North Carolina Cooperative Extension Service, Onslow County",Dr. Diana M.C. Rashash,drashash@onlsow.ces.ncs.edu,910-455-5873,910-455-6767,,,NC,USA,
Northern Watertek Corporation,Jeffrey A. White,jwhite@watertek.org,613-443-1118,613-443-2527,200 Commerce Road,Vars,ON,CANADA,K0A 3H0
NovaTec Consultants Inc.,Troy Vassos,Troy@NovaTec.ca,604-873-9262 x.309,604-873-2353,224 West 8th Avenue,Vancouver,BC,CANADA,V5Y 1N5
NSR: Nordvästra Skånes Renhållnings AB,Dag Lewis-Jonsson,,+46 42 107 570,+46 42 107 793,,S-251 89 Helsingborg,,SWEDEN,
Nuhn Industries,Dennis Nuhn,nuhnind@quadro.net,519-393-6284,519-393-5104 ,"RR #1, Box 160 ",Sebringville,ON,CANADA,N0K 1X0 
Nutrient Management Technolgies Ltd.,Bob Monteith,bob@nutrientmtl.com,705-791-3821,705-739-1642,38 Templeton Crescent,Barrie,ON,CANADA,L4N 6L5
N-Viro International Corporation,Ray Wallin,,613-348-3302 / Cell: 613-349-0044,,P.O. Box 280,Maitland,ON,CANADA,K0E 1P0
N-Viro International Corporation,Michael Nicholson,mnich@enviro.com,419-535-6374,419-535-7008,"3450 West Central Avenue, Suite 328",Toledo,OH,CANADA,43606
Omega Organics ,Robert Horne  Ed Niewinski,rhorne@golden.net eniewinski0429@rogers.com,519-572-7366 (Ed: 519-696-2317),519-896-6603 (Ed: 519-696-3345),"133 Broadview Ave.; PO Box 25071, SDM Hiway Centre Postal Outlet",Kitchener,ON,CANADA,N2A 2X6
Omega-Alpha Recycling Systems,Robert Hamburg,anomalous@wvadventures.net,304-655-8662 or 304-927-1815,,"Route 1, Box 51",Orma,WV,USA,25268
Ontario Rural Wastewater Centre,Anna Crolla,acrolla@alfredc.uoguelph.ca,613-679-2218 ,613-679-2420,"Collège d'Alfred, University of Guelph, 31 St. Paul Street, P.O. Box 580",Alfred,ON,CANADA,K0B 1A0
Organex International Inc. ,Don Wilson,don_wilson43@hotmail.com,,,,,,,
Organic Biotech Systems Inc.,Jerry Phillips,jerryphillips@sympatico.ca,905-608-2237,905-608-8759,"P.O. Box 67005, 2150 Burnhamthorpe Rd. W. ",Mississauga,ON,CANADA,L5L 3A0
Osprey Biotechnics,,Info@OspreyBiotechnics.com,941-351-2700,941-351-0026,1833-A 57th Street,Sarasota,FL,USA,34243
"Oswald Green, Inc.",Dr. William J. Oswald,,925-689-3727,925-682-2093,1081 St. Francis Drive,Concord,CA,USA,94518
Paques ADI Inc.,Dr. Al Cocci,,603-893-2134,603-898-3991,"182 Main Street, Unit 6",Salem,NH,USA,03079
Paques Solid Waste Systems BV,Marten Bennen,info@paques.nl,+31 514 60 8500,+31 514 60 3342,Postbox 52,NL-8560 AB Balk,,THE NETHERLANDS,
Paradigm Environmental Technologies Inc.,Rob Stephenson,rstephenson@paradigm.prserv.net,604-731-9060,,3585 West 29th Ave. ,Vancouver,BC,CANADA,V6T 1T2
Parker and Parker Drainage Ltd.,Wayne Cook,wcook@hay.net,519-236-7390,,,Zurich,ON,CANADA,
Patrickus & Jones SC,Robert A. Patrickus,rpatrickus@usxchange.com,920-433-9340,920-433-9209,332 South Madison St. ,Green Bay,WI,USA,54301
Patz Sales Inc. ,Doreen Roberts,norlen@reach.net,613-394-3161,613-394-4311,"340 Sidney St., Box 430",Trenton,ON,CANADA,K8V 5R6
Peacock Inc.,Bill Brooks,bbrooks@peacock.ca,905-812-7100,905-812-0069,22360 Millrace Court,Mississauga,ON,CANADA,L5N 1W2
"Pegasus Solutions, Inc.",Wayne Williams,pegasussolutions@charter.net,770-836-5275 ,770-834-2311,486 Bankhead Hwy ,Carrollton,GA,USA,30117
Penergetic International AG,Robert & Birgit Wilhelm ,info@penergetic.com ,+41 071 466 60 20,+41 071 466 70 20,Niederholzstrasse 9,CH-8593 Kesswil,,SWITZERLAND,
Pennsylvania International Trade Corp. ,,,717-234-6449  Disconnected.,717-234-4739,234 North St,Harrisburg,PA,USA,17101
Perennial Energy Corporation,Ted Landers,,417-256-2002,417-256-2801,1280 County Rd. 8690,West Plains,MO,USA,65775
"Phoenix Processes, Inc.",Aneta S. Newton,asnewton@swbell.net,405-878-9400 or 1-877-976-9400,405-878-8908,"110 N. Bell, Suite 610",Shawnee ,OK ,USA,74801
"Pinnacle Biotechnologies International, Inc.",Brian Duff,info@pinnaclebiotech.com,303-674-3236,303-674-0006,6559 Jungfrau Way,Evergreen,CO ,USA,80439
Planistics Management Ltd.  (NA distributor for Penergetic),Derek Pratt,dpratt@planistics.com,604-731-0596,604-736-0901,"Suite 329, 5525 West Boulevard",Vancouver,BC,CANADA,V6M 3W6
Power Energy Fuels Inc.,Roberto Valles,biz@powerenergy.com,303-205-1991,303-205-1990,"6595 W. 14th Ave., Suite 203",Lakewood,CO,USA,80214
Power-X,,pwxz@aol.com,209-465-0296,209-465-1605,"7 West Acadia St., Suite 6",Stockton,CA,USA,95202
Practically Green Enviornmental Services,Les Gornall,les.gornall@dial.pipex.com ,+44 1648 32615,+44 1648 32615,"Solar House, Magherafelt ,Co.",Londonderry,,NORTHERN IRELAND,BT45 6HW
Prikom/HKV,Poul Lyhne,,+45 99 268 211,+45 99 268 212,Enghavevej 10,DK-7400 Herning,,DENMARK,
PRIME Technologies,Vic Schlesinger,info@dakotavcc.com,402-572-5649,,10906 North 61st Street,Omaha,NE,USA,68152-4234
Procédé OxydH2O,Jean-Jacques Demers,info@oxydh2o.com,418-463-3388,418-463-3711,"2186, rue de la Province",Longueuil,QC,CANADA,J4G 1R7
Proene Santos,Duarte Santos,duarte@sprint.ca,519-318-3355,519-245-6811,106 Middlesex Drive ,Strathroy,ON,CANADA,N7G 4G5
Projektrör AB,Gunnar Örn,,+46 8 732 5334,+46 8 732 5344,PO Box 7256,S-183 07 Täby,,SWEDEN,
Prominep Bio Engineering,Gord Rossel,cleen@nepdm.com,905-737-0172,905-737-0162,,,,,
Purac AB,Daniel Ling,,+46 46 191 900,+46 46 191 919,PO Box 1146,S-22 105 Lund,,SWEDEN,
Pure Lean Hogs,Myles Warken/ John Haewich,purelean@purelean.com,403-504-0364 ,403-526-7539,#109 - 612 Kingsway Ave. SE,Medicine Hat,AL,CANADA,T1A 2W9
Purin Pur Inc. ,Réal Lasnier,josee@avipor.ca,450-266-6222,450-266-9922,"1418 A, rue Sud",Cowansville,QC,CANADA,J2K 2Y8
PWR Technologies Inc.,Ward Garven,ward@pwrinc.ca,403-660-7192,403-246-0966,"# 418, 100 - 4th Ave S. W",Calgary,AL,CANADA,T2P 3N2
Reaction Engineering International,,info@reaction-eng.com ,801-364-6925 ,801-364-6977,77 West 200 South Suite 210,Salt Lake City,UT,USA,84101-1609
Recycling Organischer Materialien AG,Rolf Wetter,,+41 52 722 4660,+41 52 722 4042,Mattstraße,CH-8502 Frauenfeld,,SWITZERLAND,
"Renewable Oil International, LLC",Dr. Peter Fransham,pfransha@renewableoil.com,613-852-6161,613-228-7329 ,1391 Normandy Crescent,Ottawa,ON,CANADA,K2C 0N4
"RENTEC Renewable Energy Technologies, Inc. / GBU mbH",Nils Semmler,semmler@rentec.ca,613-849-9199,613-475-0361,342 English Settlement Rd.,Trenton,ON,CANADA,K8V 5P7
"Resource Conservation Management, Inc. (RCM)",Richard Mattocks / Mark Moser,rcmdigesters@att.net,510-658-4466,510-658-2729,P.O. Box 4715,Berkeley,CA,USA,94704
"RK Industries, Inc.  BIOSTAR",Bob Kreger,biostar@mschsi.com,563-359-9500,563-359-9555,"1039 State St., Suite 203, P.O. Box 803",Bettendorf,IA,USA,52722
"ROEBIC Laboratories, Inc. ","Craig Brewer
",brewer1@iserve.net,317-578-0135,,"25 Connair Rd., P.O. Box 927 ",Orange,CT ,USA ,06477
"Roediger Pittsburgh, Inc.",Justine Thomas,jxt@roediger.com,412-487-6010,412-487-6005,3812 Route 8,Allison Park,PA ,USA,15101
Rondeau Anaerobic Inc.,Don Goyette ,ronana99@hotmail.com,519-674-1545,519-674-1555,17946 Lakeshore,Morpeth,ON,CANADA,N0P 1X0
Rosenberg International Inc. / FWB Technologies,Peter Rosenberg,rosenbergp945@aol.com,514-497-3111 or 514-483-6093,,"1117 Ste-Catherine St. West, Suite 714-715",Montreal,QC,CANADA,H3B 1H9
Roy Carr,Roy Carr,rcarr48@cogeco.ca,905-633-7596,905-333-9646,"#1103, 100 Burloak Dr.",Burlington,ON,CANADA,L7P 6P6
"RPA: Risanamento Protezione Ambiente, SpA",,,+39 755 171 147,+39 755 179 669,Str. Del Colle 1A/1 - Loc. Fontana,I-06074 Perugia,,ITALY,
S.E.C. Repro inc.,,"info@secrepro.com
",1-888-446-4647 or 450-293-0156,450-293-0157,"86, rue Roy",Ange-Gardien-de-Rouville ,QC,CANADA,J0E 1E0
Sanitherm Engineering Ltd.,R. Smith,saneng@direct.ca,604-986-9168,604-986-5377,431 Mtn. Hwy.,North Vancouver,BC,CANADA,V2J 2L1
SARC International / Little River Pond Mills,William Tooley / Doug and Lorraine Cameron,sarc@midstatesd.net lrpm@pondmill.com,1-888-226-9653   / 306-642-4240 or 1-888-766-3645,605-337-3390  / 306-642-4420 ,"Box 517, 612 Indiana Ave. / Box 1327, 301 Hwy #2 North",Platte / Assiniboia,SD / SK,USA / CANADA,57369 / S0H 0B0
SCAT Engineering Inc. ,George Paragrim,sales@scat.com ,317-842-1145,"317-842-0545
",13600 Conner Knoll Parkway,Fishers,IN,USA,46038
Schwarting-UHDE GmbH,,,+49 461 999 2121,+49 461 999 2101,Lise Meitnerstraße 2,D-24941 Flensburg,,GERMANY,
Sci-Corp Systems Inc.,Ronald Roth,scicorp@rogers.com,705-733-2626 1-800-897-2053,705-733-2618,"274 Burton Ave. Bldg. 3, Suite 203 B",Barrie,ON,CANADA,L4N 5W4
SEPTECH ENVIRONMENTAL,"Greg Ford, David Wemyss",,519-433-0808 ,519-645-0981,,London,ON,CANADA,
"SeptiTech, Inc. ",Lloyd Weaver,info@septitech.com,207-657-5252,207-657-5246,220 Lewiston Road,Gray,Maine,USA,04039
Severn Trent Services - Samsco,Robert Parrillo,"rparrillo@severntrentservices.com, sales@samsco.com",603-668-7111ex.23,603-647-0537,18 Cote Avenue,Goffstown,NH,USA,03045
"Sharp Energy, Inc.",Roy Sharp,rsharp6363@aol.com,559-688-2051   ,559-688-1111,24684 Road 148,Tulare,CA,USA,93274
Sirex Engineering,,,905-405-9977   ,,7389 Kimbel,Mississauga,ON,CANADA,L4T 3M6
Sleegers Engineering Inc.,Joe Adams,jadams@sleegers.on.ca,519-671-0236 x.223,519-451-9922,649 Third Street,London,ON,CANADA,N5E 2C1
SLR Distributing,Roger Shoemaker,rlsmaker@aol.com,402-475-4403,402-475-4403,2928 Wendover,Lincoln,NE,USA,68502
SLS Technologies Inc. ,Stéphane Hardy or JP ??,info@slstechnologies.qc.ca,450-776-6642,450-776-7488,"356-1, rue Principale",Granby,QC,CANADA,J2G 2W6
Smelox,Z. de Mespaol,,02-98-32-41-63,02-98-32-41-64,29290 Saint-Renan,,,,
"SMSI, Inc. ",,Postmaster@supermicrobe.com,301-869-8556 ,301-977-0776,"16021 Comprint Circle 
",Gaithersburg,MD,USA,20877
Snamprogetti SpA,Mr. Bassetti,,+39 721 881 769,+39 721 881 952,Via Toniolo 1,I-61032 Fano,,ITALY,
SNC Lavalin Audet,Luc Massicodte,,514-393-8000 ext. 2710,514-866-0419 ,"455 René-Lévesque Blvd. West, 21st Floor ",Montréal,QC,CANADA,H2Z 1Z3
Société d'études d'assainissement inc. ,André Balu,fabalu@sympatico.ca,514-341-4544,514-341-4544,"4488, Circle Road",Montréal,QC,CANADA,H3W 1Y7
Soil  Resource Group,Dr. Gregory J. Wall,gwall@agtest.com,519-837-1600,,503 Imperial Road North,Guelph,ON,CANADA,N1H 6T9
Soil and Water Science Department ,Ann Wilkie,acwi@gnv.ifas.ufl.edu,352-392-8699,"352-392-7008 
","University of Florida, PO Box 110960",Gainesville,FL,USA,32611-0960
SPI: Srl Societa Produzione Idrosanitari,,,+39 322 50 146,+39 322 50 334,Via per Borgomanero - Reg. Pulice,I-28060 Comignago,,ITALY,
Spinheat Ltd.,Michael Virr,,203-373-0036,,2349 Black Rock Tpke,Fairfield,CT,USA,06432
SRX Engineering,,,905-951-8503 ,,99 Ellwood Dr. East,Bolton,ON,CANADA,
