COMPANY,FSC_CODE,COUNTRY,CONTINENT,ADDRESS,CONT_PER,TELEPHONE,FAX,EMAIL,WEBSITE,ISSUDATE,EXPDATE,PRODUCTS
AS Imavere Sawveski,SW-COC-730,Estonia,Europe,"72401 Imavere vald, Järva maakond",Mr. Meelis Lokk,+ 372 38 49 301,+ 372 38 49 302,meelis.lokk@imavere.ee ,www.imaver.ee,01.07.02,30.06.07,"lumber (sawn, kiln-dired, planed, finger joint, DIY prod)"
Teknifor OÜ,SW-COC-1019,Estonia,Europe,"Välja 4 Kehra, 73307",Mr. Martyn Dixon,+372 6031 332,+372 6031 336,tekniforestonia@hotmail.com ,,01.09.03,31.08.08,Custom millwork Lumber (kiln-dried) Engineered wood
Thor Eesti AS,SGS-COC-1631,Estonia,Europe,"Puu 2, Viru-Jaagupi 46 604, Vinni vald, Lääne -Virumaa","Mr. Andres Leosk,",Fax: ,+372 32 25 434,,,22.01.04,21.01.09,garden furniture
Nason Davis Eesti OÜ,SW-COC-1142,Estonia,Europe,"Vallikraavi 2, 51014 Tartu",Indrek Tani,+372 7 440 434,+372 7 440 430,indrek.tani@nasondavis.ee ,,02.11.04,02.10.09,Lumber (kiln-dried) Pressure-treated products Lumber also impregnated and kiln-dried 5000
Ansawert OÜ,SW-COC-1240,Estonia,Europe,"Männiku tee 123/3 Tallinn, 11216",Vahur Väär,372 655 95 87,372 655 93 13,vahurvr@online.ee ,,16.06.04,15.06.09,Furniture - outdoor / garden 20
Sawmill of Sadala OÜ,SW-COC-1190,Estonia,Europe,"Sadala 48501, Torma district, Jõgevamaa Sadala",Valdo Kaselo,+372 77 623 17,+372 77 623 17 Fax: +372 77 623 18,sadala.sms@mail.ee ,,06.04.04,05.04.09,Lumber
AS Imprest,SW-COC-1086,Estonia,Europe,"Betooni 9 51014 Tartu,",Mr. Timo Hermlin,+372 7 386 900,+372 7 386 901,timo@imprest.ee ,www.imprest.ee,01.12.03,30.11.08,"Garden supplies Fences, fence poles, play ground Poles Poles for garden fences Playground equipment"
Lindell Components Oy Ab,SGS-COC-0810,Finland,Europe,"Dagsmarkintie 320, FIN-64320 Dagsmark",Janne Ojala,+ 358 6 2290 200,+ 358 6 2290 202,janne.ojala@lindellcomponents.fi ,,15.10.01,14.10.06,Solid pine and birch doors and components for kitchen and furniture
Clément Ott,SGS-COC-1516,France,Europe,"70, rue du Stade – B.P. 3 57415 MONTBRONN",Clément Ott,+33 (0)3 87964049,+33 (0)3 87964632,ScierieOtt@aol.com ,,30.09.03,29.09.08,sawn timber and roundwood.
BIL,CTBA-COC-0003,France,Europe,"31, AVENUE Jean Moulin, 87310 ST LAURENT SUR GORRE",Sylvain CALONNEC,555482430,555492431,,,25.08.04,24.08.09,Compasant pour meubles Miroirs Moulures bâtiment
TECNO PROFILS,EUR-COC-030903,France,Europe,Bois des Brosses - 89 390 RAVIERES - FRANCE,Madame Laurence BELLET,+ 33 3 86 55 99 55,+ 33 3 86 55 99 56,eric.wissen@fr.oleane.com ,,18.09.03,17.09.08,Panelling Fibre boards (MDF)
FRANCIAL,EUR-COC-030904,France,Europe,Zone d'activités des Parts d'en Bas - 62 640 MONTIGNY EN GOHELLE - FRANCE,Monsieur Edouard BISBROUCK,+ 33 3 21 13 98 00,+ 33 3 21 75 68 67,francial@wanadoo.fr ,,18.09.03,17.09.08,Outdoors wood installations
M.O.B.I.,EUR-COC-030905,France,Europe,Zone d'activités des Parts d'en Bas - 62 640 MONTIGNY EN GOHELLE - FRANCE,Monsieur Edouard BISBROUCK,+ 33 3 21 20 22 31,+ 33 3 21 20 59 79,,,18.09.03,17.09.08,Outdoors wood installations
Société forézienne d’imprégnation des bois,SGS-COC-1645,France,Europe,"Société forézienne d’imprégnation des bois BP 111, F-42161 Andrézieux-Bouthéon Cédex",M Philippe Boissière,0033 4 77 36 17 90,0033 4 77 36 17 99,p.boissiere@rbi.larochette.com ,,19.02.04,18.02.09,"Turned products for fences, gantries of plays, installations of garden"
Forestière de Gascogne,SGS-COC-0419,France,Europe,40210 Escource,Jean-François Galban,+ 33 5 58 04 40 40,+ 33 5 58 04 40 55,,07.03.00,06.03.05,1050 ha of maritime pine plantation in the Landes de Gascogne.1050 hectares de forêt cultivée de pin maritime dans les Landes de Gascogne.,
ROYSOL,EUR-COC-030902,France,Europe,Zone Industrielle le Petit Béru - 89 700 TONNERRE - FRANCE,Monsieur Bertrand GERARD,+ 33 3 86 54 68 68,+ 33 3 86 54 68 69,v.roy@roysol.com ,,18.09.03,17.09.08,Laminated floor covering Fibre boards (MDF)
SITB sas,CTBA-COC-0002,France,Europe,"31, avenue Jean Moulin, 87310 ST LAURENT SUR GORRE",Sylvain CALONNEC,555482430,555492431,,,25.07.04,29.07.09,Compasant pour meubles Miroirs Moulures bâtiment
Montoise des Bois,CTBA-COC-0004,France,Europe,59 bis avenue de Sabres BP 247 40005 MONT DE MARSAN cedex,IRALDE Xavier,05 58 75 77 77,montoise.du.bois@wanadoo.fr ,,,30.07.04,29.07.09,étagères basiques Elément modulables étagères basiques blocs tiroirs étagères murales droites consoles murales tablettes brutes
CIHB,CTBA-COC-0005,France,Europe,"La Croix, 24470 SAINT PARDOUX",Gérard BRIVES,05 53 56 70 73,05 53 56 60 99,,,30.07.04,29.07.04,"Rodins tournés traités Avivés corroyes, percés et traités"
Poreaux,IMO-COC-24065,France,Europe,"Rue de l’Ilet, BP 30, FR, 51005 Chalons-en-Champagne",Mrs Pascale Diard,-692862,-50395,pascale.diard@poreaux.fr ,www.lapeyre.fr,19.08.04,30.12.05,windows
SOBOPLAC,EUR-COC-040604,France,Europe,ZI - Rue François Coli 33 290 BLANQUEFORT - FRANCE,Monsieur Guillaume CALON,+ 33 5 56 35 52 00,+ 33 5 56 35 52 01,servary@servary.com ,,24.06.04,24.06.09,parquet
SERVARY,EUR-COC-040602,France,Europe,BP 6 40 230 SAINT VINCENT DE TYROSSE - FRANCE,Monsieur Jean-François SERVARY,+ 33 5 58 77 03 41,+ 33 5 58 77 25 59,servary@servary.com ,,24.06.04,24.06.09,
Egger Rambervillers,GFA-COC-1110,France,Europe,ZI de Blanchifontain 88700 Rambervillers,Marie-Aurore Schlegel,+33 3 29680173,+33 3 29680873,maurore.schlegel@egger.com ,www.egger.com,25.09.03,24.09.08,"Chipboard, raw and melamine faced; sized elements; profiled chipboard"
NEWELL WINDOW FASHIONS FRANCE,EUR-COC-040203,France,Europe,Route d’Achères 28 170 TREMBLAY LES VILLAGES - FRANCE,Madame Virginie FAYEMENDY,+ 33 2 37 38 59 00,+ 33 2 37 38 59 50,Virginie.fayemendy@newellwf-fr.com ,,12.02.04,12.02.09,"curtain rods, curtain rings, supports, accessories"
JMS,EUR-COC-040202,France,Europe,ZA - 12 rue du Chêne 67150 NORDHOUSE - FRANCE,Monsieur Yannick SCHMITT,+ 33 3 90 29 92 20,+ 33 3 90 29 92 30,contact@jeux-mobiliers-siegel.fr ,,12.02.04,12.02.09,"bench, trash can, bin, outdoors games"
SINEU GRAFF,EUR-COC-040201,France,Europe,Rue des Vosges 67 230 KOGENHEIM - FRANCE,Monsieur Yannick SCHMITT,+ 33 3 88 58 74 58,+ 33 3 88 74 01 00,contact@sineugraff.com ,,12.02.04,12.02.09,"bench, trash can, bin, fence, outdoors games"
Active Trading,SKAL-COC-000387,France,Europe,"9, Rue de Buisson Rondeau; Breuillet Box 34; 91650; Breuillet",,,,,,14.01.04,31.12.04,
BOIS DES TROIS PORTS,EUR-COC-031103,France,Europe,"13, rue de l'Houmaille - ZI de Cheviré 44 340 BOUGUENAIS - FRANCE",Monsieur Pierrick MANGEAIS,+ 33 2 40 65 27 53,+ 33 2 40 32 07 77,p.mangeais@pbmgroup.com ,,13.11.03,12.11.08,"Logs, boules, square edged timber, plank"
MALLO BOIS,EUR-COC-031102,France,Europe,"5, rue de la Forêt 68 890 REGUISHEIM - FRANCE",Monsieur Aldo IANNONE,+ 33 3 89 81 12 22,+ 33 3 89 81 04 47,mallo.bois@wanadoo.fr ,,13.11.03,12.11.08,"Logs, boules, square edged timber, plank"
S.L.B.,EUR-COC-031101,France,Europe,"6, rue du Château - BP 16 50 160 TORIGNI SUR VIRE - FRANCE",Monsieur Yann LELIEVRE,+ 33 2 33 77 47 37,+ 33 2 33 77 47 34,ledentu@slbsa.com ,,13.11.03,12.11.08,Logs
BALLAUFF,EUR-COC-040603,France,Europe,"21, place des Vosges 75 003 PARIS - FRANCE",Monsieur Olivier COINTEMENT,+ 33 1 44 54 53 63,+ 33 1 42 77 92 53,ballauff@ballauff.fr ,,24.06.04,24.06.09,Woven timber (rolls or made to measure blinds)
FP Bois,SGS-COC-0839,France,Europe,"2 route d'Escource, BP.1, 40 201 Mimizan Cedex",Eric Plantier,+ 33 558 82 7171,+ 33 558 09 3213,,,15.11.01,15.11.06,Production of panelling round and sawn timber
Etablissements Neurisse SA,SGS-COC-0652,France,Europe,40260 Castets,Guy Neurisse,+ 33 55 8894 003,+ 33 55 8894 784,,,21.03.01,20.03.06,Production of pine railway sleepers
Somagic Barbecues,EUR-COC-021101,France,Europe,La Genète - 71290 CUISERY,Mr. Jannick Guillemot,33 3 85 32 27 50,33 3 85 32 27 58,somagic.bbq.production@wanadoo.fr ,,28.11.02,28.11.07,barbecues
Forest Style,SGS-COC-1172,France,Europe,"Rue Nain 9, FR-59100 Roubaix",Mr. Laurent Bastien,33 320 282525,33 320 248825,,,11.10.02,11.10.07,"the purchase, storage and sales of garden products. All kind of products"
Woodex,EUR-COC-02090,France,Europe,"35, rue de la Bruyére 67400 Illkirch",Dominique Vives,33 3 88 67 2949,33 3 88 66 9943,,,29.10.02,29.10.07,"spindle, stirp, skewer spike"
Monnerie,EUR-COC-020603,France,Europe,La Poterie 49230 Tillieres,Jacky Cousseau,33 241 560956,+ 33 241 567277,jcousseau@premdor.com ,,29.10.02,29.10.07,interior doors
Fonmarty,EUR-COC-020602,France,Europe,Route de Bordeaux 33430 Bazas,Mr. Laurence Graissaguel,33 5 5665 0606,33 5 56 65 0600,,,29.10.02,29.10.07,doors
Euro J,EUR-COC-021103,France,Europe,"14, boulevard Jean Sébastien Bach - 67000 STRASBOURG",Mr. Patrick Rivoallan,33 3 90 41 67 30,33 3 90 41 67 33,euroj@wanadoo.fr ,,28.11.02,28.11.07,outdoors wood installations
INDUBOIS / NORDISK BoisLaminated Products,SGS-COC-0946,France,Europe,1 Z.A.C. de l’Ancien PontLa Peyrade34110 Frontignan,M Laurent Peyraud,+ 33 467 46 85 00,+ 33 467 80 26 98,lp@indubois.fr ,,04.03.02,04.03.07,Tropical hardwoods
Peltier Bois,EUR-COC-021104,France,Europe,Zone Industrielle de Mézaubert - 35133 JAVENÉ,Mr. Vincent Peltier,33 2 99 94 81 81,33 2 99 94 81 99,contact@peltierbois.com ,,28.11.02,28.11.07,"Log, square edged timber, fiber board"
Scierie Nicolas,SGS-COC-0838,France,Europe,"Route de Saubrigues, 40230 Benesse-Maremne",Christian Nicolas,+ 33 5 58 41 86 00,+ 33 558 41 8609,contact@scierie-nicolas.fr ,,15.11.01,15.11.06,Production pine railway sleepers
Courbin SA,SGS-COC-0654,France,Europe,"41 Route de la Garrene, 33770 Salles",Mr. Lataillade,+ 33 55 6 884 014,+ 33 55 6 884 494,,,21.03.01,20.03.06,Production of pine railway sleepers
Bedora & Cie,SGS-COC-0653,France,Europe,40360 Pomarez,Mr Bedora,+ 33 55 8893 632,n/a,bedora@wanadoo.fr ,,21.03.01,20.03.06,Production of pine railway sleepers
TOPODIS,CTBA-COC-0001,France,Europe,"31, avenue Jean Moulin, 87310 ST LAURENT S/ GORRE",Sylvain CALONNEC,05 55 48 24 40,05 55 48 24 41,sylvain-calonnec @tiscalli.fr ,,25.08.04,24.08.09,Composants pour meubles Miroirs Moulures bâtiment
Cabannes,SGS-COC-0644,France,Europe,17210 Chevanceaux,Benoit Cabannes,+ 33 460 46427,+ 33 460 46606,,,21.03.01,20.03.06,"Pressing, varnishing and manufacturing or certified timber."
Cerland,EUR-COC-030201,France,Europe,Rue de Fresnay - ZI La Bihardais - 35 170 BRUZ,Mr. Goulven Keromnes,+ 33 2 99 05 30 20,+ 33 2 99 05 30 39,,,13.02.03,13.02.08,trading of outdoors wood installations
Groupe Gascogne,SGS-COC-0420,France,Europe,"Forestière de Gascogne, 40210, Escource",Jean-Francois Galban,+ 33 558 04 40 00,+ 33 558 04 40 55,,,07.03.00,07.03.05,Maritime pine (Pinus pinaster)
Unilin Bazeilles,SGS-COC-1011,France,Europe,Zone Industrielle BP 18 08140 Bazeilles,Mr. Henk Corneillie,+ 33 3 242 27077,+33 3 242 27079,,,18.04.02,18.04.07,Certified finished boards
Gers Porte,EUR-COC-030405,France,Europe,Zone Industrielle de Berdoulet - 32 500 FLEURANCE,Mr. Pascal Cestaro,33 5 62 06 11 99,33 5 62 06 65 22,ms@keller-fermetures.fr ,,10.04.03,10.04.08,Doors and outdoors joineries
Parqueterie Lemoine,SGS-COC-1418,France,Europe,65 Rue de la Gare F-88260 Darney,Jean francois Brousse,33.32907606,329093508,,,10.06.03,09.06.08,
CORDIER SAS,IMO-COC-22373,France,Europe,"73 Avenue A.A. Thévenet, B.P. 6, Magenta 51201 Epernay Cedex",Mme. Marlène Sajdak,+33-326-59 52 22,+33-326-59 52 15,marlene.sajdak@cordier.fr ,,18.03.03,31.12.04,wooden stairs with banisters
BOIS ET LOISIRS,EUR-COC-030603,France,Europe,"12 bis, rue de Croix - 59 290 WASQUEHAL - FRANCE",FRANCE Monsieur Denis DELEQUEUCHE,+ 33 3 20 72 30 87,+ 33 3 20 45 94 72,bois.et.loisirs@free.fr ,,05.06.03,05.06.08,outdoors wood installations
FRIBOIS,EUR-COC-030602,France,Europe,"2, rue Foch - BP 14 - 59 118 WAMBRECHIES - FRANCE",Monsieur Franck DUFOURNY,+ 33 3 20 78 85 92,+ 33 3 20 39 69 00,contact@fribois.com ,,05.06.03,05.06.08,"logs, square edged timbers and boules"
SAINT-LOUBERT,EUR-COC-030601,France,Europe,Avenue de Gascogne - 32 800 EAUZE - FRANCE,Monsieur Christian LELEU,+ 33 5 62 08 11 77,+ 33 5 62 09 94 56,cleleu@saintloubert.com ,,05.06.03,05.06.08,Veneer
Abelia Decors,TT-COC-1728,France,Europe,"Zone Industrielle, 80143 Abbeville Cedex, France",Pierre Fonteneaud,0033 03 22 20 11 00,0033 03 22 20 11 20,fonteneaud@abeliadecors.com ,,05.12.02,05.12.07,The products to be included in the scope are all FSC endorsed wall coverings.
Menuiserie Laurent,EUR-COC-021102,France,Europe,"4 ,rue des Ecluses - 55140 CHALAINES",Mr. Christophe Humbert,33 3 29 89 42 60,33 3 29 89 46 37,menuiserielaurent@wanadoo.fr ,,28.11.02,28.11.07,doors and windows
P.S.R,EUR-COC-030406,France,Europe,Zone Industrielle de Berdoulet - 32 500 FLEURANCE,Mr. Pascal Cestarp,33 5 62 06 11 99,33 5 62 06 65 22,ms@keller-fermetures.fr ,,10.04.03,10.04.08,furnitrues
ARTS ET RANGEMENTS,EUR-COC-030901,France,Europe,Zone Industrielle - 89 770 CHAILLEY - FRANCE,Madame Christine ROY,+ 33 3 86 56 29 29,+ 33 3 86 56 25 28,arts-et-rangements@wanadoo.fr ,,18.09.03,17.09.08,Storage unit furniture in kit form Particle and fibre boards
Keller,EUR-COC-030404,France,Europe,Zone Industrielle de Berdoulet - 32 500 FLEURANCE,Mr. Pascal Cestaro,33 5 62 06 11 99,33 5 62 06 65 22,ms@keller-fermetures.fr ,,10.04.03,10.04.08,joineries
Drouot Innovation,EUR-COC-030403,France,Europe,ZI de Saint Christophe - 10 500 SAINT LÉGER SOUS BRIENNE,Mr. René Vernaz,33 3 25 92 82 78,33 3 25 92 54 77,,,10.04.03,10.04.08,Indoors joineries
Totem Menuiserie,EUR-COC-030402,France,Europe,"28, rue de Marmoret - 10 220 BREVONNES",Mr. René Vernaz,33 3 25 46 30 11,33 3 25 46 30 67,mobois@mobois.com ,,10.04.03,10.04.08,Outdoors joineries
Guillemette et Cie,EUR-COC-030401,France,Europe,"35, rue du 129ème RI - 76 058 LE HAVRE",Mr. Thierry Guillemette,33 2 35 19 23 60,33 2 35 41 32 91,thierry@guillemette-bois.com ,,10.04.03,10.04.08,Tropical timber
Groupe Morel - Mobois,EUR-COC-030202,France,Europe,39 260 VOUGLANS,Ms Elodie MOREL,+ 33 3 84 87 29 00,+ 33 3 84 48 40 21,mobois@mobois.com ,,13.02.03,13.02.08,rods of curtains' accessories
Piveteau sa,SGS-COC-1249,France,Europe,"Scierie Piveteau, 85140 Sainte Florence",Mr. Christophe Lorieau,+ 2 51 66 1630,+ 2 51 66 0928,,,09.12.02,09.12.07,"the purchase, transformation and sales of FSC wooden garden and environment products"
Burger Distribution,EUR-COC-021106,France,Europe,Zone Indust. Bois l'Abbesse - BP07 - 68660 LIEPVRE,Mr. Christian Grandgeorge,33 3 89 58 91 21,33 3 89 58 43 44,info@burger.fr ,,28.11.02,28.11.07,outdoors wood installations
Les Docks de l’Est SA,SGS-COC-1350,France,Europe,"Les Docks de l’Est SA 23, Avenue de la Station F – 93250 Villemomble",Mme Chemin,33 1 48 55 26 04,33 1 48 55 28 36,,,04.04.03,04.04.08,Profiled and non-profiled stickers of hard- and softwood
Burger SA,EUR-COC-021105,France,Europe,Zone Indust. Bois l'Abbesse - BP 07 68660 Liepvre,Mr. Phillippe Beyer,33 3 89 58 9121,33 3 89 58 4344,info@burger.fr ,,28.11.02,28.11.07,"edge, strips, sawings"
Eberhard Wick Werkzeugfabrik,GFA-COC-1139,Germany,Europe,"Robert-Bosch-Straße 17, 47475 Kamp-Lintfort",Mr. Elmar Klinge,+49 02842 9630-0,+49 02842 719581,info@wick-klinge.de ,www.klinge-wick.de,26.04.04,25.04.09,Tools
"Vitafloor GmbH, Parkettfertigung",IMO-COC-24102,Germany,Europe,"Vitafloor GmbH, Parkettfertigung Drönnewitzer Str. 47 D-17109 Demmin",Mr. Scharsitzke,+49-3998-27 20 80,+49-3998-27 20 89,info@vitafloor.de ,www.vitafloor.de,01.07.04,31.12.05,parquet
Technische Bürsten GmbH,SGS-COC-1644,Germany,Europe,"Bregenzer Straße 5, 03130 Spremberg",Mr. E. Gleitsmann,+49 3563 90211,+49 3563 90214,,,12.02.04,11.02.09,brushes / beech
"Mai+Sohn KG, Holzverarbeitung mit Sägewerk",SGS-COC-1649,Germany,Europe,"Schlagmühle, 97656 Oberelsbach",Mr. Christian Mai,+49 09774 325,"+49 09774 1630,",info@mai-sohn.de ,,13.02.04,12.02.09,"„Herstellung und Handel mit Schnittholz, Zuschnitten, Rundstäben, Dübel, Kanteln und Sonderprodukten“ „Production of and trading with sawn wood, cuttings, round rods, dowels and specialized products“"
KiehnHolz GmbH,SGS-COC-1671,Germany,Europe,"Am Schwarzen Berg 9, D-22955 Hoisdorf",Mr. Thorsten Kiehn,+49 (0)4107 3780 0,+49 (0)4107 3780 80,info@kiehnholz.com ,,27.02.04,26.02.09,"Wooden garden items, sawn wood products, houses"
Kiefer Furnier + Design GmbH u. Co. KG,SCS-COC-00605,Germany,Europe,"Borgfeld 12, 59302 Oelde-Stromberg",Alexandra Kiefer,00 49 (0) 2529-9302-0,00 49 (0) 2529-9302-22,info@kiefer-furnier.de ,,05.03.04,04.03.09,"All timber species which are suitable for veneer, mainly Beech, Oak, Cherry, Maple, Ash"
Jolyka Im- und Export GmbH,SCS-COC-00608,Germany,Europe,Süchtelnerstraße 20 47929 Grefrath-Oedt,Rainer Lorenz,-8195,-694653,jolyka@aol.com ,,08.03.04,07.03.09,
J. FINK Druckerei GmbH & Co. KG,GFA-COC-1137,Germany,Europe,"Zeppelinstrasse 29-32, D-73760 Ostfildern (Kemnat)",Mr. Martin Staudinger,+49 0711 45 06-0,+49 0711 45 06-236,m.staudinger@jfink.de ,www.jfink.de,15.03.04,14.03.09,"Printed products e.g. magazines, catalogues, brochures, advertising printing"
Sven-Form Möbel GmbH & Co. KG,SW-COC-1168,Germany,Europe,Lindenhofstr. 140 D-73529 Schwäbisch Gmünd,Mr. Alexander Rosenberger,-91075,-92147,sven.form@t-online.de ,,03.03.04,02.03.09,
Scancom Deutschland GmbH,SW-COC-1170,Germany,Europe,"Krefelder Str. 233-237 D-47839 Krefeld,",Mr. Jurgen Conrades,-652892,-6510031,conrades@scancom.net ,www.scancom.net,08.03.04,07.03.09,"Furniture - outdoor / garden Hardwood garden furniture: tables, chairs, benches"
Gerd Seitz Pinselfabrik GmbH,SGS-COC-1678,Germany,Europe,"Hesselbergstrasse 19, D-91602 Dürrwangen",Mr. Gerd Seitz,+49 9856 9711 0,+49 9856 9711 20,seitz-pinsel@t-online.de ,,13.01.04,12.01.09,"Einkauf von Rohstielen, Herstellung und Verkauf von Pinseln sowie Handel mit Pinseln“ Purchase of paint brush handles, manufacture and sale of paint brushes, and trade with paint brushes“."
GF Weber GmbH,SGS-COC-1690,Germany,Europe,"Ida-Ehre-Platz 14, D-20095 Hamburg",Mr. Reinhard Sonntag,+49 (0)40 325438 12,+49 (0)40 325438 20,reinhard.sonntag@gfweber.de ,,30.03.04,29.03.09,"Brush and broom blocks, finished brooms and brushes, broom handles and tool sticks"
Hugo Kämpf GmbH,GFA-COC-1142,Germany,Europe,"Gartenstraße 11, 97289 Thüngen, Germany",Mrs. Carolin Voll,+49 09360 99 183,+49 09360 99 184,info@hugokaempf.de ,www.hugokaempf.de,08.04.04,07.04.09,Hardwood sawn timber; Oak beams; Oak flooring; Oak square edged; T&T/Boules; Other semi finished products.
Weka Holzbau,SW-COC-1124,Germany,Europe,"Johannesstr. 16 Neubrandenburg, 17034",Mr. Franz Follmann,49-395-42908-0,49-395-42908-88,info@weka-holzbau.com ,www.weka-holzbau.com,12.01.03,30.11.08,Construction wood Garden houses & car ports
Stielfabrik Hinrich Bröker,GFA-COC-1138,Germany,Europe,"Steindamm 59, 25485 Hemdingen",Mrs. Monika Bröker,+49 04120 205,+49 04120 1537,,,26.04.04,25.04.09,Tools
“DREWNOM” PHU Lucyna Niemiec,SGS-COC-1620,Germany,Europe,"4 B. Prusa St., 38-100 Strzyzow",Mrs. Lucyna Niemiec,+48 17 27 62 540,,,,14.01.04,13.01.09,"Sawn timber, stripes."
"Gebrüder Klingler GbR, Stielfabrik und Sägewerk",IMO-COC-24057,Germany,Europe,72401 Haigerloch-Hart,Mr. Gerd Klingler,-15255,,,,29.03.04,31.12.05,hammer shafts
Neuwieder Couvertfabrik GmbH,IMO-COC-24060,Germany,Europe,Rostocker Str. 16 56566 Neuwied,"Mrs Astrid Großgarten,",-3766,,www.nc-couvert.de,,15.04.04,31.12.05,envelopes
Curtis AG,IMO-COC-24061,Germany,Europe,Gottlieb-Daimler-Str. 1 56564 Neuwied,Mr Werner Kiefer,"+49-2632-2909-0,",info@curtis.de ,www.curtis.de,,15.04.04,31.12.05,envelopes
Gauer Holzagentur,IMO-COC-24062,Germany,Europe,Paulinusstr. 2a 54497 Morbach-Bischofsdhron,-954105,-954106,rainer.gauer@t-online.de ,,,29.03.04,31.12.05,sawn timber
WALO GmbH & Co. KG,SCS-COC-00625,Germany,Europe,Eickeloher Straße D-29693 Hodenhagen/Aller,Ralf H. H. Goldmann Ph.D.,0049-(0)5164-555,0049-(0)5164-2094,info@walo-holz.de ,www.walo-holz.de,22.04.04,21.04.09,Roundwood Sawnwod Energywoodl
Mehling & Wiesmann,SCS-COC-00600,Germany,Europe,Partensteinerstraße 2 D-97816 Lohr/Main,Richard Weis,49 (0) 09352-87930,+49 (0) 09352-879311,info@mehling-wiesmann.de ,www.mehling-wiesmann.de,23.04.04,22.04.09,"Manufacturer and distributor of round wood, sawn wood and veneers"
Kare Reiter & Schönhofen OHG,GFA-COC-1122,Germany,Europe,Zeppelinstraße 16; 85748 Garching - Hochbrueck,Mr. Peter Koch,+49 89 32082 131,+49 89 32082 232,pkoch@kare.de ,,01.02.04,31.01.09,"furniture, garden furniture"
Schwan-STABILO Cosmetics GmbH & Co. KG,SGS-COC-1717,Germany,Europe,"Schwanweg 1, D-90562 Heroldsberg",Mr. Klaus Poehmerer,+49 (0) 911 567 2520,+49 (0) 911 567 2521,kpoehmerer@schwancosmetics.com ,,05.05.04,04.05.09,"„Einkauf von Holzbrettchen, Herstellung und Vertrieb von holzgefassten Kosmetikstiften“ „Purchase of slats, production and sale of wood clenched cosmetic pencils”"
W.F. Kaiser u. Co. GmbH,SGS-COC-1738,Germany,Europe,"Werner-von-Siemensstraße 28, D-65582 Diez/Lahn",Mr. Peter Klengel,+49 (0) 6432 915 165,+49 (0) 6432 915 169,P.Klengel@Kaiser-Backform.de ,,21.05.04,20.05.09,"Household items, beech"
Münchener Boulevard Möbel GmbH,SGS-COC-1747,Germany,Europe,"Steinbuchstrasse 3, D-83539 Forsting",Herr Albert Fischer,+49 (0)8094 9093 33,+49 (0)8094 1502,schaberl@mbm-moebel.de ,,02.06.04,01.06.09,"Wooden garden items, sawn wood products, houses"
Gebr. Kess Sägewerk GmbH,SGS-COC-1749,Germany,Europe,"Brückenauerstr. 4, D-97762 Hammelburg-Untererthal",Mr. Christian Gabel,+49 9732 9152 0,+49 9732 3746,,,03.06.04,02.06.09,"Sawn wood, beech"
abcdruck GmbH,GFA-COC-1159,Germany,Europe,"Waldhoferstraße 19, 69123 Heidelberg",Mr Groß,+49-6221-8446 49,+49 6221 840600,jochen.gross@abcdruck.de ,www.abcdruck.de,30.06.04,29.06.09,Printed products
SINEU GRAFF GmbH,EUR-COC-040401,Germany,Europe,Fabrik Sonntag 4B D 79183 WALDKIRCH,Mr Yannick SCHMITT,+ 49 76 81 474 0197,+ 49 76 81 474 0889,info@sineugraff.com ,,12.02.04,12.02.09,"bench, trash can, bin, fence, outdoors games"
Augsburger Druck- und Verlagshaus GmbH,GFA-COC-1118,Germany,Europe,Aindlinger Straße 17-19 86167 Augsburg,Mr. Wolf Dietrich Lau,+49 0821 79040212,,,,26.11.03,25.11.08,"Printed products e.g. magazines, catalogues, telephone books, brochures, books, advertising printing"
Hamburger Gartenmöbelgesellschaft mbH,SGS-COC-1124,Germany,Europe,"Bredowstrasse 17, D-22113 Hamburg",Mr. Rainer Lorenz,49 40 751 98670,49 40 751 98699,,,14.08.02,14.08.07,trading with outdoor items from wood (garden furniture)
SIK Holzgestaltungs GmbH,SGS-COC-1125,Germany,Europe,"Dorfstraße 54 a, D-14913 Langenlipsdorf",Mr. W. Unnerstall,49 33742 799 55,49 33472 799 20,,,14.08.02,14.08.07,production of playgrounds and outdoor furniture systems. The purchase and sale of wooden furniture
Setter GmbH& Co.,SGS-COC-1201,Germany,Europe,"Postfach 100 832, 46428 Emmerich",Mr. Robert Prager,49 2822 3087,49 2822 2935,,,25.10.02,25.10.07,manufacture of paper sticks containing a minimum of 50% certified material
Carl Abt KG.,SGS-COC-0746,Germany,Europe,"Einsteinstrasse 60, D-89077 Ulm",Dr. Peter Schwaderer,+ 49 731 93528 0,+ 49 731 93528 10,,,19.07.01,19.07.06,Trading with garden items from wood.
Hunter Douglas Produktions GmbH (Glauchau),SW-COC-535,Germany,Europe,"Meeraner Strasse 25, Glauchau, 08371",Mr. Herbert Raats,+ 49 3763 796 202,+ 49 3763 796 222,hraats@hdprod.de ,,15.07.01,14.07.06,Window blinds
Kohn & Messerschmidt Leistenfabrik,SCS-COC-00315,Germany,Europe,Max Eyth Str. 2 74532 Ilshofen-Eckartshausen,Birgit Messerschmidt,+ 49 7904 9779 0,+ 49 7904 9779 20,contact@kohn-messerschmidt.de ,,01.07.01,01.07.06,Mouldings
